sample_id,sequence,frame_index,split,qc_double_label,rgb_timestamp_s,depth_timestamp_s,pair_offset_ms,rgb_zip_member,depth_zip_member,local_rgb_path
rgbd_bonn_person_tracking:0000,rgbd_bonn_person_tracking,0,development,1,1548265882.49963,1548265882.51176,12.130,rgbd_bonn_person_tracking/rgb/1548265882.49963.png,rgbd_bonn_person_tracking/depth/1548265882.51176.png,frames/rgbd_bonn_person_tracking/0000.png
rgbd_bonn_person_tracking:0010,rgbd_bonn_person_tracking,10,development,0,1548265882.83270,1548265882.83890,6.200,rgbd_bonn_person_tracking/rgb/1548265882.83270.png,rgbd_bonn_person_tracking/depth/1548265882.83890.png,frames/rgbd_bonn_person_tracking/0010.png
rgbd_bonn_person_tracking:0020,rgbd_bonn_person_tracking,20,development,0,1548265883.16791,1548265883.17259,4.680,rgbd_bonn_person_tracking/rgb/1548265883.16791.png,rgbd_bonn_person_tracking/depth/1548265883.17259.png,frames/rgbd_bonn_person_tracking/0020.png
rgbd_bonn_person_tracking:0030,rgbd_bonn_person_tracking,30,development,0,1548265883.50282,1548265883.50628,3.460,rgbd_bonn_person_tracking/rgb/1548265883.50282.png,rgbd_bonn_person_tracking/depth/1548265883.50628.png,frames/rgbd_bonn_person_tracking/0030.png
rgbd_bonn_person_tracking:0040,rgbd_bonn_person_tracking,40,development,0,1548265883.83818,1548265883.83995,1.770,rgbd_bonn_person_tracking/rgb/1548265883.83818.png,rgbd_bonn_person_tracking/depth/1548265883.83995.png,frames/rgbd_bonn_person_tracking/0040.png
rgbd_bonn_person_tracking:0050,rgbd_bonn_person_tracking,50,development,1,1548265884.17359,1548265884.17362,0.030,rgbd_bonn_person_tracking/rgb/1548265884.17359.png,rgbd_bonn_person_tracking/depth/1548265884.17362.png,frames/rgbd_bonn_person_tracking/0050.png
rgbd_bonn_person_tracking:0060,rgbd_bonn_person_tracking,60,development,0,1548265884.50823,1548265884.50730,0.930,rgbd_bonn_person_tracking/rgb/1548265884.50823.png,rgbd_bonn_person_tracking/depth/1548265884.50730.png,frames/rgbd_bonn_person_tracking/0060.png
rgbd_bonn_person_tracking:0070,rgbd_bonn_person_tracking,70,development,0,1548265884.84371,1548265884.84097,2.740,rgbd_bonn_person_tracking/rgb/1548265884.84371.png,rgbd_bonn_person_tracking/depth/1548265884.84097.png,frames/rgbd_bonn_person_tracking/0070.png
rgbd_bonn_person_tracking:0080,rgbd_bonn_person_tracking,80,development,0,1548265885.17889,1548265885.17471,4.180,rgbd_bonn_person_tracking/rgb/1548265885.17889.png,rgbd_bonn_person_tracking/depth/1548265885.17471.png,frames/rgbd_bonn_person_tracking/0080.png
rgbd_bonn_person_tracking:0090,rgbd_bonn_person_tracking,90,development,0,1548265885.51451,1548265885.50841,6.100,rgbd_bonn_person_tracking/rgb/1548265885.51451.png,rgbd_bonn_person_tracking/depth/1548265885.50841.png,frames/rgbd_bonn_person_tracking/0090.png
rgbd_bonn_person_tracking:0100,rgbd_bonn_person_tracking,100,development,1,1548265885.84940,1548265885.84208,7.320,rgbd_bonn_person_tracking/rgb/1548265885.84940.png,rgbd_bonn_person_tracking/depth/1548265885.84208.png,frames/rgbd_bonn_person_tracking/0100.png
rgbd_bonn_person_tracking:0110,rgbd_bonn_person_tracking,110,development,0,1548265886.18473,1548265886.17578,8.950,rgbd_bonn_person_tracking/rgb/1548265886.18473.png,rgbd_bonn_person_tracking/depth/1548265886.17578.png,frames/rgbd_bonn_person_tracking/0110.png
rgbd_bonn_person_tracking:0120,rgbd_bonn_person_tracking,120,development,0,1548265886.52003,1548265886.50947,10.560,rgbd_bonn_person_tracking/rgb/1548265886.52003.png,rgbd_bonn_person_tracking/depth/1548265886.50947.png,frames/rgbd_bonn_person_tracking/0120.png
rgbd_bonn_person_tracking:0130,rgbd_bonn_person_tracking,130,development,0,1548265886.85470,1548265886.84313,11.570,rgbd_bonn_person_tracking/rgb/1548265886.85470.png,rgbd_bonn_person_tracking/depth/1548265886.84313.png,frames/rgbd_bonn_person_tracking/0130.png
rgbd_bonn_person_tracking:0140,rgbd_bonn_person_tracking,140,development,0,1548265887.18991,1548265887.17682,13.090,rgbd_bonn_person_tracking/rgb/1548265887.18991.png,rgbd_bonn_person_tracking/depth/1548265887.17682.png,frames/rgbd_bonn_person_tracking/0140.png
rgbd_bonn_person_tracking:0150,rgbd_bonn_person_tracking,150,development,1,1548265887.52521,1548265887.51050,14.710,rgbd_bonn_person_tracking/rgb/1548265887.52521.png,rgbd_bonn_person_tracking/depth/1548265887.51050.png,frames/rgbd_bonn_person_tracking/0150.png
rgbd_bonn_person_tracking:0160,rgbd_bonn_person_tracking,160,development,0,1548265887.85992,1548265887.84420,15.720,rgbd_bonn_person_tracking/rgb/1548265887.85992.png,rgbd_bonn_person_tracking/depth/1548265887.84420.png,frames/rgbd_bonn_person_tracking/0160.png
rgbd_bonn_person_tracking:0170,rgbd_bonn_person_tracking,170,development,0,1548265888.19567,1548265888.21126,15.590,rgbd_bonn_person_tracking/rgb/1548265888.19567.png,rgbd_bonn_person_tracking/depth/1548265888.21126.png,frames/rgbd_bonn_person_tracking/0170.png
rgbd_bonn_person_tracking:0180,rgbd_bonn_person_tracking,180,development,0,1548265888.53083,1548265888.54490,14.070,rgbd_bonn_person_tracking/rgb/1548265888.53083.png,rgbd_bonn_person_tracking/depth/1548265888.54490.png,frames/rgbd_bonn_person_tracking/0180.png
rgbd_bonn_person_tracking:0190,rgbd_bonn_person_tracking,190,development,0,1548265888.86576,1548265888.87860,12.840,rgbd_bonn_person_tracking/rgb/1548265888.86576.png,rgbd_bonn_person_tracking/depth/1548265888.87860.png,frames/rgbd_bonn_person_tracking/0190.png
rgbd_bonn_person_tracking:0200,rgbd_bonn_person_tracking,200,development,1,1548265889.20083,1548265889.21229,11.460,rgbd_bonn_person_tracking/rgb/1548265889.20083.png,rgbd_bonn_person_tracking/depth/1548265889.21229.png,frames/rgbd_bonn_person_tracking/0200.png
rgbd_bonn_person_tracking:0210,rgbd_bonn_person_tracking,210,development,0,1548265889.53599,1548265889.54596,9.970,rgbd_bonn_person_tracking/rgb/1548265889.53599.png,rgbd_bonn_person_tracking/depth/1548265889.54596.png,frames/rgbd_bonn_person_tracking/0210.png
rgbd_bonn_person_tracking:0220,rgbd_bonn_person_tracking,220,development,0,1548265889.87068,1548265889.87961,8.930,rgbd_bonn_person_tracking/rgb/1548265889.87068.png,rgbd_bonn_person_tracking/depth/1548265889.87961.png,frames/rgbd_bonn_person_tracking/0220.png
rgbd_bonn_person_tracking:0230,rgbd_bonn_person_tracking,230,development,0,1548265890.20609,1548265890.21332,7.230,rgbd_bonn_person_tracking/rgb/1548265890.20609.png,rgbd_bonn_person_tracking/depth/1548265890.21332.png,frames/rgbd_bonn_person_tracking/0230.png
rgbd_bonn_person_tracking:0240,rgbd_bonn_person_tracking,240,development,0,1548265890.54174,1548265890.54704,5.300,rgbd_bonn_person_tracking/rgb/1548265890.54174.png,rgbd_bonn_person_tracking/depth/1548265890.54704.png,frames/rgbd_bonn_person_tracking/0240.png
rgbd_bonn_person_tracking:0250,rgbd_bonn_person_tracking,250,development,1,1548265890.87693,1548265890.88069,3.760,rgbd_bonn_person_tracking/rgb/1548265890.87693.png,rgbd_bonn_person_tracking/depth/1548265890.88069.png,frames/rgbd_bonn_person_tracking/0250.png
rgbd_bonn_person_tracking:0260,rgbd_bonn_person_tracking,260,development,0,1548265891.21153,1548265891.21438,2.850,rgbd_bonn_person_tracking/rgb/1548265891.21153.png,rgbd_bonn_person_tracking/depth/1548265891.21438.png,frames/rgbd_bonn_person_tracking/0260.png
rgbd_bonn_person_tracking:0270,rgbd_bonn_person_tracking,270,development,0,1548265891.54661,1548265891.54803,1.420,rgbd_bonn_person_tracking/rgb/1548265891.54661.png,rgbd_bonn_person_tracking/depth/1548265891.54803.png,frames/rgbd_bonn_person_tracking/0270.png
rgbd_bonn_person_tracking:0280,rgbd_bonn_person_tracking,280,development,0,1548265891.88184,1548265891.88173,0.110,rgbd_bonn_person_tracking/rgb/1548265891.88184.png,rgbd_bonn_person_tracking/depth/1548265891.88173.png,frames/rgbd_bonn_person_tracking/0280.png
rgbd_bonn_person_tracking:0290,rgbd_bonn_person_tracking,290,development,0,1548265892.21716,1548265892.21539,1.770,rgbd_bonn_person_tracking/rgb/1548265892.21716.png,rgbd_bonn_person_tracking/depth/1548265892.21539.png,frames/rgbd_bonn_person_tracking/0290.png
rgbd_bonn_person_tracking:0300,rgbd_bonn_person_tracking,300,development,1,1548265892.55274,1548265892.54911,3.630,rgbd_bonn_person_tracking/rgb/1548265892.55274.png,rgbd_bonn_person_tracking/depth/1548265892.54911.png,frames/rgbd_bonn_person_tracking/0300.png
rgbd_bonn_person_tracking:0310,rgbd_bonn_person_tracking,310,development,0,1548265892.88774,1548265892.88283,4.910,rgbd_bonn_person_tracking/rgb/1548265892.88774.png,rgbd_bonn_person_tracking/depth/1548265892.88283.png,frames/rgbd_bonn_person_tracking/0310.png
rgbd_bonn_person_tracking:0320,rgbd_bonn_person_tracking,320,development,0,1548265893.22272,1548265893.21650,6.220,rgbd_bonn_person_tracking/rgb/1548265893.22272.png,rgbd_bonn_person_tracking/depth/1548265893.21650.png,frames/rgbd_bonn_person_tracking/0320.png
rgbd_bonn_person_tracking:0330,rgbd_bonn_person_tracking,330,development,0,1548265893.55785,1548265893.55021,7.640,rgbd_bonn_person_tracking/rgb/1548265893.55785.png,rgbd_bonn_person_tracking/depth/1548265893.55021.png,frames/rgbd_bonn_person_tracking/0330.png
rgbd_bonn_person_tracking:0340,rgbd_bonn_person_tracking,340,development,0,1548265893.89294,1548265893.88386,9.080,rgbd_bonn_person_tracking/rgb/1548265893.89294.png,rgbd_bonn_person_tracking/depth/1548265893.88386.png,frames/rgbd_bonn_person_tracking/0340.png
rgbd_bonn_person_tracking:0350,rgbd_bonn_person_tracking,350,development,1,1548265894.22771,1548265894.21755,10.160,rgbd_bonn_person_tracking/rgb/1548265894.22771.png,rgbd_bonn_person_tracking/depth/1548265894.21755.png,frames/rgbd_bonn_person_tracking/0350.png
rgbd_bonn_person_tracking:0360,rgbd_bonn_person_tracking,360,development,0,1548265894.56297,1548265894.55122,11.750,rgbd_bonn_person_tracking/rgb/1548265894.56297.png,rgbd_bonn_person_tracking/depth/1548265894.55122.png,frames/rgbd_bonn_person_tracking/0360.png
rgbd_bonn_person_tracking:0370,rgbd_bonn_person_tracking,370,development,0,1548265894.89818,1548265894.88490,13.280,rgbd_bonn_person_tracking/rgb/1548265894.89818.png,rgbd_bonn_person_tracking/depth/1548265894.88490.png,frames/rgbd_bonn_person_tracking/0370.png
rgbd_bonn_person_tracking:0380,rgbd_bonn_person_tracking,380,development,0,1548265895.23360,1548265895.21860,15.000,rgbd_bonn_person_tracking/rgb/1548265895.23360.png,rgbd_bonn_person_tracking/depth/1548265895.21860.png,frames/rgbd_bonn_person_tracking/0380.png
rgbd_bonn_person_tracking:0390,rgbd_bonn_person_tracking,390,development,0,1548265895.56842,1548265895.55228,16.140,rgbd_bonn_person_tracking/rgb/1548265895.56842.png,rgbd_bonn_person_tracking/depth/1548265895.55228.png,frames/rgbd_bonn_person_tracking/0390.png
rgbd_bonn_person_tracking:0400,rgbd_bonn_person_tracking,400,development,1,1548265895.90356,1548265895.91933,15.770,rgbd_bonn_person_tracking/rgb/1548265895.90356.png,rgbd_bonn_person_tracking/depth/1548265895.91933.png,frames/rgbd_bonn_person_tracking/0400.png
rgbd_bonn_person_tracking:0410,rgbd_bonn_person_tracking,410,development,0,1548265896.23883,1548265896.25303,14.200,rgbd_bonn_person_tracking/rgb/1548265896.23883.png,rgbd_bonn_person_tracking/depth/1548265896.25303.png,frames/rgbd_bonn_person_tracking/0410.png
rgbd_bonn_person_tracking:0420,rgbd_bonn_person_tracking,420,development,0,1548265896.57399,1548265896.58671,12.720,rgbd_bonn_person_tracking/rgb/1548265896.57399.png,rgbd_bonn_person_tracking/depth/1548265896.58671.png,frames/rgbd_bonn_person_tracking/0420.png
rgbd_bonn_person_tracking:0430,rgbd_bonn_person_tracking,430,development,0,1548265896.90899,1548265896.92037,11.380,rgbd_bonn_person_tracking/rgb/1548265896.90899.png,rgbd_bonn_person_tracking/depth/1548265896.92037.png,frames/rgbd_bonn_person_tracking/0430.png
rgbd_bonn_person_tracking:0440,rgbd_bonn_person_tracking,440,development,0,1548265897.24402,1548265897.25403,10.010,rgbd_bonn_person_tracking/rgb/1548265897.24402.png,rgbd_bonn_person_tracking/depth/1548265897.25403.png,frames/rgbd_bonn_person_tracking/0440.png
rgbd_bonn_person_tracking:0450,rgbd_bonn_person_tracking,450,development,1,1548265897.57908,1548265897.58773,8.650,rgbd_bonn_person_tracking/rgb/1548265897.57908.png,rgbd_bonn_person_tracking/depth/1548265897.58773.png,frames/rgbd_bonn_person_tracking/0450.png
rgbd_bonn_person_tracking:0460,rgbd_bonn_person_tracking,460,development,0,1548265897.91448,1548265897.92142,6.940,rgbd_bonn_person_tracking/rgb/1548265897.91448.png,rgbd_bonn_person_tracking/depth/1548265897.92142.png,frames/rgbd_bonn_person_tracking/0460.png
rgbd_bonn_person_tracking:0470,rgbd_bonn_person_tracking,470,development,0,1548265898.24923,1548265898.25512,5.890,rgbd_bonn_person_tracking/rgb/1548265898.24923.png,rgbd_bonn_person_tracking/depth/1548265898.25512.png,frames/rgbd_bonn_person_tracking/0470.png
rgbd_bonn_person_tracking:0480,rgbd_bonn_person_tracking,480,development,0,1548265898.58431,1548265898.58877,4.460,rgbd_bonn_person_tracking/rgb/1548265898.58431.png,rgbd_bonn_person_tracking/depth/1548265898.58877.png,frames/rgbd_bonn_person_tracking/0480.png
rgbd_bonn_person_tracking:0490,rgbd_bonn_person_tracking,490,development,0,1548265898.91961,1548265898.92246,2.850,rgbd_bonn_person_tracking/rgb/1548265898.91961.png,rgbd_bonn_person_tracking/depth/1548265898.92246.png,frames/rgbd_bonn_person_tracking/0490.png
rgbd_bonn_person_tracking:0500,rgbd_bonn_person_tracking,500,development,1,1548265899.25507,1548265899.25616,1.090,rgbd_bonn_person_tracking/rgb/1548265899.25507.png,rgbd_bonn_person_tracking/depth/1548265899.25616.png,frames/rgbd_bonn_person_tracking/0500.png
rgbd_bonn_person_tracking:0510,rgbd_bonn_person_tracking,510,development,0,1548265899.59060,1548265899.58984,0.760,rgbd_bonn_person_tracking/rgb/1548265899.59060.png,rgbd_bonn_person_tracking/depth/1548265899.58984.png,frames/rgbd_bonn_person_tracking/0510.png
rgbd_bonn_person_tracking:0520,rgbd_bonn_person_tracking,520,development,0,1548265899.92578,1548265899.92354,2.240,rgbd_bonn_person_tracking/rgb/1548265899.92578.png,rgbd_bonn_person_tracking/depth/1548265899.92354.png,frames/rgbd_bonn_person_tracking/0520.png
rgbd_bonn_person_tracking:0530,rgbd_bonn_person_tracking,530,development,0,1548265900.26104,1548265900.25722,3.820,rgbd_bonn_person_tracking/rgb/1548265900.26104.png,rgbd_bonn_person_tracking/depth/1548265900.25722.png,frames/rgbd_bonn_person_tracking/0530.png
rgbd_bonn_person_tracking:0540,rgbd_bonn_person_tracking,540,development,0,1548265900.59620,1548265900.59089,5.310,rgbd_bonn_person_tracking/rgb/1548265900.59620.png,rgbd_bonn_person_tracking/depth/1548265900.59089.png,frames/rgbd_bonn_person_tracking/0540.png
rgbd_bonn_person_tracking:0550,rgbd_bonn_person_tracking,550,development,1,1548265900.93065,1548265900.92460,6.050,rgbd_bonn_person_tracking/rgb/1548265900.93065.png,rgbd_bonn_person_tracking/depth/1548265900.92460.png,frames/rgbd_bonn_person_tracking/0550.png
rgbd_bonn_person_tracking:0560,rgbd_bonn_person_tracking,560,development,0,1548265901.26619,1548265901.25830,7.890,rgbd_bonn_person_tracking/rgb/1548265901.26619.png,rgbd_bonn_person_tracking/depth/1548265901.25830.png,frames/rgbd_bonn_person_tracking/0560.png
rgbd_bonn_person_tracking:0570,rgbd_bonn_person_tracking,570,development,0,1548265901.60188,1548265901.59203,9.850,rgbd_bonn_person_tracking/rgb/1548265901.60188.png,rgbd_bonn_person_tracking/depth/1548265901.59203.png,frames/rgbd_bonn_person_tracking/0570.png
rgbd_bonn_person_tracking2:0000,rgbd_bonn_person_tracking2,0,held_out_similar_room,1,1548265919.50097,1548265919.49424,6.730,rgbd_bonn_person_tracking2/rgb/1548265919.50097.png,rgbd_bonn_person_tracking2/depth/1548265919.49424.png,frames/rgbd_bonn_person_tracking2/0000.png
rgbd_bonn_person_tracking2:0010,rgbd_bonn_person_tracking2,10,held_out_similar_room,0,1548265919.83411,1548265919.82755,6.560,rgbd_bonn_person_tracking2/rgb/1548265919.83411.png,rgbd_bonn_person_tracking2/depth/1548265919.82755.png,frames/rgbd_bonn_person_tracking2/0010.png
rgbd_bonn_person_tracking2:0020,rgbd_bonn_person_tracking2,20,held_out_similar_room,0,1548265920.16864,1548265920.16124,7.400,rgbd_bonn_person_tracking2/rgb/1548265920.16864.png,rgbd_bonn_person_tracking2/depth/1548265920.16124.png,frames/rgbd_bonn_person_tracking2/0020.png
rgbd_bonn_person_tracking2:0030,rgbd_bonn_person_tracking2,30,held_out_similar_room,0,1548265920.50431,1548265920.49495,9.360,rgbd_bonn_person_tracking2/rgb/1548265920.50431.png,rgbd_bonn_person_tracking2/depth/1548265920.49495.png,frames/rgbd_bonn_person_tracking2/0030.png
rgbd_bonn_person_tracking2:0040,rgbd_bonn_person_tracking2,40,held_out_similar_room,0,1548265920.83951,1548265920.82859,10.920,rgbd_bonn_person_tracking2/rgb/1548265920.83951.png,rgbd_bonn_person_tracking2/depth/1548265920.82859.png,frames/rgbd_bonn_person_tracking2/0040.png
rgbd_bonn_person_tracking2:0050,rgbd_bonn_person_tracking2,50,held_out_similar_room,1,1548265921.17433,1548265921.16225,12.080,rgbd_bonn_person_tracking2/rgb/1548265921.17433.png,rgbd_bonn_person_tracking2/depth/1548265921.16225.png,frames/rgbd_bonn_person_tracking2/0050.png
rgbd_bonn_person_tracking2:0060,rgbd_bonn_person_tracking2,60,held_out_similar_room,0,1548265921.50935,1548265921.49599,13.360,rgbd_bonn_person_tracking2/rgb/1548265921.50935.png,rgbd_bonn_person_tracking2/depth/1548265921.49599.png,frames/rgbd_bonn_person_tracking2/0060.png
rgbd_bonn_person_tracking2:0070,rgbd_bonn_person_tracking2,70,held_out_similar_room,0,1548265921.84442,1548265921.82968,14.740,rgbd_bonn_person_tracking2/rgb/1548265921.84442.png,rgbd_bonn_person_tracking2/depth/1548265921.82968.png,frames/rgbd_bonn_person_tracking2/0070.png
rgbd_bonn_person_tracking2:0080,rgbd_bonn_person_tracking2,80,held_out_similar_room,0,1548265922.17945,1548265922.16332,16.130,rgbd_bonn_person_tracking2/rgb/1548265922.17945.png,rgbd_bonn_person_tracking2/depth/1548265922.16332.png,frames/rgbd_bonn_person_tracking2/0080.png
rgbd_bonn_person_tracking2:0090,rgbd_bonn_person_tracking2,90,held_out_similar_room,0,1548265922.51462,1548265922.53040,15.780,rgbd_bonn_person_tracking2/rgb/1548265922.51462.png,rgbd_bonn_person_tracking2/depth/1548265922.53040.png,frames/rgbd_bonn_person_tracking2/0090.png
rgbd_bonn_person_tracking2:0100,rgbd_bonn_person_tracking2,100,held_out_similar_room,1,1548265922.84969,1548265922.86410,14.410,rgbd_bonn_person_tracking2/rgb/1548265922.84969.png,rgbd_bonn_person_tracking2/depth/1548265922.86410.png,frames/rgbd_bonn_person_tracking2/0100.png
rgbd_bonn_person_tracking2:0110,rgbd_bonn_person_tracking2,110,held_out_similar_room,0,1548265923.18522,1548265923.19777,12.550,rgbd_bonn_person_tracking2/rgb/1548265923.18522.png,rgbd_bonn_person_tracking2/depth/1548265923.19777.png,frames/rgbd_bonn_person_tracking2/0110.png
rgbd_bonn_person_tracking2:0120,rgbd_bonn_person_tracking2,120,held_out_similar_room,0,1548265923.52052,1548265923.53144,10.920,rgbd_bonn_person_tracking2/rgb/1548265923.52052.png,rgbd_bonn_person_tracking2/depth/1548265923.53144.png,frames/rgbd_bonn_person_tracking2/0120.png
rgbd_bonn_person_tracking2:0130,rgbd_bonn_person_tracking2,130,held_out_similar_room,0,1548265923.85527,1548265923.86512,9.850,rgbd_bonn_person_tracking2/rgb/1548265923.85527.png,rgbd_bonn_person_tracking2/depth/1548265923.86512.png,frames/rgbd_bonn_person_tracking2/0130.png
rgbd_bonn_person_tracking2:0140,rgbd_bonn_person_tracking2,140,held_out_similar_room,0,1548265924.19053,1548265924.19878,8.250,rgbd_bonn_person_tracking2/rgb/1548265924.19053.png,rgbd_bonn_person_tracking2/depth/1548265924.19878.png,frames/rgbd_bonn_person_tracking2/0140.png
rgbd_bonn_person_tracking2:0150,rgbd_bonn_person_tracking2,150,held_out_similar_room,1,1548265924.52576,1548265924.53249,6.730,rgbd_bonn_person_tracking2/rgb/1548265924.52576.png,rgbd_bonn_person_tracking2/depth/1548265924.53249.png,frames/rgbd_bonn_person_tracking2/0150.png
rgbd_bonn_person_tracking2:0160,rgbd_bonn_person_tracking2,160,held_out_similar_room,0,1548265924.86083,1548265924.86614,5.310,rgbd_bonn_person_tracking2/rgb/1548265924.86083.png,rgbd_bonn_person_tracking2/depth/1548265924.86614.png,frames/rgbd_bonn_person_tracking2/0160.png
rgbd_bonn_person_tracking2:0170,rgbd_bonn_person_tracking2,170,held_out_similar_room,0,1548265925.19565,1548265925.19984,4.190,rgbd_bonn_person_tracking2/rgb/1548265925.19565.png,rgbd_bonn_person_tracking2/depth/1548265925.19984.png,frames/rgbd_bonn_person_tracking2/0170.png
rgbd_bonn_person_tracking2:0180,rgbd_bonn_person_tracking2,180,held_out_similar_room,0,1548265925.53113,1548265925.53349,2.360,rgbd_bonn_person_tracking2/rgb/1548265925.53113.png,rgbd_bonn_person_tracking2/depth/1548265925.53349.png,frames/rgbd_bonn_person_tracking2/0180.png
rgbd_bonn_person_tracking2:0190,rgbd_bonn_person_tracking2,190,held_out_similar_room,0,1548265925.86661,1548265925.86720,0.590,rgbd_bonn_person_tracking2/rgb/1548265925.86661.png,rgbd_bonn_person_tracking2/depth/1548265925.86720.png,frames/rgbd_bonn_person_tracking2/0190.png
rgbd_bonn_person_tracking2:0200,rgbd_bonn_person_tracking2,200,held_out_similar_room,1,1548265926.20124,1548265926.20092,0.320,rgbd_bonn_person_tracking2/rgb/1548265926.20124.png,rgbd_bonn_person_tracking2/depth/1548265926.20092.png,frames/rgbd_bonn_person_tracking2/0200.png
rgbd_bonn_person_tracking2:0210,rgbd_bonn_person_tracking2,210,held_out_similar_room,0,1548265926.53680,1548265926.53455,2.250,rgbd_bonn_person_tracking2/rgb/1548265926.53680.png,rgbd_bonn_person_tracking2/depth/1548265926.53455.png,frames/rgbd_bonn_person_tracking2/0210.png
rgbd_bonn_person_tracking2:0220,rgbd_bonn_person_tracking2,220,held_out_similar_room,0,1548265926.87219,1548265926.86827,3.920,rgbd_bonn_person_tracking2/rgb/1548265926.87219.png,rgbd_bonn_person_tracking2/depth/1548265926.86827.png,frames/rgbd_bonn_person_tracking2/0220.png
rgbd_bonn_person_tracking2:0230,rgbd_bonn_person_tracking2,230,held_out_similar_room,0,1548265927.20711,1548265927.20197,5.140,rgbd_bonn_person_tracking2/rgb/1548265927.20711.png,rgbd_bonn_person_tracking2/depth/1548265927.20197.png,frames/rgbd_bonn_person_tracking2/0230.png
rgbd_bonn_person_tracking2:0240,rgbd_bonn_person_tracking2,240,held_out_similar_room,0,1548265927.54228,1548265927.53568,6.600,rgbd_bonn_person_tracking2/rgb/1548265927.54228.png,rgbd_bonn_person_tracking2/depth/1548265927.53568.png,frames/rgbd_bonn_person_tracking2/0240.png
rgbd_bonn_person_tracking2:0250,rgbd_bonn_person_tracking2,250,held_out_similar_room,1,1548265927.87736,1548265927.86933,8.030,rgbd_bonn_person_tracking2/rgb/1548265927.87736.png,rgbd_bonn_person_tracking2/depth/1548265927.86933.png,frames/rgbd_bonn_person_tracking2/0250.png
rgbd_bonn_person_tracking2:0260,rgbd_bonn_person_tracking2,260,held_out_similar_room,0,1548265928.21227,1548265928.20300,9.270,rgbd_bonn_person_tracking2/rgb/1548265928.21227.png,rgbd_bonn_person_tracking2/depth/1548265928.20300.png,frames/rgbd_bonn_person_tracking2/0260.png
rgbd_bonn_person_tracking2:0270,rgbd_bonn_person_tracking2,270,held_out_similar_room,0,1548265928.54739,1548265928.53671,10.680,rgbd_bonn_person_tracking2/rgb/1548265928.54739.png,rgbd_bonn_person_tracking2/depth/1548265928.53671.png,frames/rgbd_bonn_person_tracking2/0270.png
