result_id,run_id,dataset_id,metric,scenario,split,unit,value,uncertainty,validation_status,result_path,superseded_by,limitations
m1-A-gas-single-detected,m1-uci309-20260924-v2,UCI309,detected,A gas single 3s,held_out_pilot_repeated_scoring,files/60,58,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-single-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas single 3s,held_out_pilot_repeated_scoring,files/60,54,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-single-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas single 3s,held_out_pilot_repeated_scoring,files/60,1,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-single-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A gas single 3s,held_out_pilot_repeated_scoring,s,25.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-single-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas single 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-multi-detected,m1-uci309-20260924-v2,UCI309,detected,A gas multi 3s,held_out_pilot_repeated_scoring,files/60,59,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-multi-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas multi 3s,held_out_pilot_repeated_scoring,files/60,57,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-multi-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas multi 3s,held_out_pilot_repeated_scoring,files/60,1,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-multi-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A gas multi 3s,held_out_pilot_repeated_scoring,s,24.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-multi-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas multi 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-ewma-detected,m1-uci309-20260924-v2,UCI309,detected,A gas ewma 3s,held_out_pilot_repeated_scoring,files/60,59,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-ewma-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas ewma 3s,held_out_pilot_repeated_scoring,files/60,57,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-ewma-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas ewma 3s,held_out_pilot_repeated_scoring,files/60,4,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-ewma-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A gas ewma 3s,held_out_pilot_repeated_scoring,s,23.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-ewma-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas ewma 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-cusum-detected,m1-uci309-20260924-v2,UCI309,detected,A gas cusum 3s,held_out_pilot_repeated_scoring,files/60,54,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-cusum-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas cusum 3s,held_out_pilot_repeated_scoring,files/60,54,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-cusum-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas cusum 3s,held_out_pilot_repeated_scoring,files/60,4,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-gas-cusum-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A gas cusum 3s,held_out_pilot_repeated_scoring,s,25.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
