run_id,recorded_at_utc,dataset_id,data_source,data_sha256,code_commit,script_path,command,parameters,environment,random_seed,output_path,status,notes
eda-stage3-20260924-01,2026-09-24,UCI309+UCI487,UCI original ZIPs,309:5e9b707e7a44b3dcaf39b62bb46597403fcdd98ec89814b15e4876694db5f41e;487:cb5ce4a6af1a51b933d1979952d7845f0e9baac54e15a81a1e3599e8b85905d4,script_sha256:961122e6182c0de2d726ab0616bab45e10cc7feac2ac9b9c9f9f72b54342f1c1,scripts/eda_stage3.py,python scripts/eda_stage3.py --uci309 uci_309_original.zip --uci487 uci_487_original.zip --out outputs/eda_stage3,"read-only; preselected plot IDs 001,002; earliest 487 day","{'python': '3.12.14', 'numpy': '2.3.5', 'pandas': '2.2.3', 'matplotlib': '3.10.8'}",NA,results/eda_stage3/summary.json,success_diagnostic,EDA; no formal model result; report in docs/stage3-eda-report.md
m1-uci309-20260924-v2,2026-09-24,UCI309,UCI original wind tunnel ZIP,5e9b707e7a44b3dcaf39b62bb46597403fcdd98ec89814b15e4876694db5f41e,4f89ba3333627e8fbf2cc643225fbd48243c355f;script_sha256:38f33bb98b07d95259a20cae5c9c878eea08af507636b31d936e0e97b5fc62f5,scripts/run_m1_uci309.py,python scripts/run_m1_uci309.py --archive ../uci_309_original.zip --out results/m1_uci309,results/m1_uci309/run.json,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""python"": ""3.12.14""}",20260924,results/m1_uci309/run.json,exploratory_pilot_repeated_holdout_after_scoring_fix,Score boundary corrected after initial inspection; same holdout rerun; exploratory laboratory pilot; not site validation
uci487-protocol-diagnostic-20260924-01,2026-09-24,UCI487,UCI original nested ZIP,cb5ce4a6af1a51b933d1979952d7845f0e9baac54e15a81a1e3599e8b85905d4,c9316fc002a4c42d548991bf22194336774738be;script_sha256:d32b871b4405a636b80131587836ad9c359546cf13fd148e7cd9835127965ffa,scripts/diagnose_uci487_stage5.py,python scripts/diagnose_uci487_stage5.py --archive ../uci_487_original.zip --out results/uci487_protocol_diagnostic,last 300s of each 15min segment; heater phase >0.55V,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""python"": ""3.12.14""}",NA,results/uci487_protocol_diagnostic/summary.json,diagnostic_only_no_model,Repeated CO schedule across all 13 days; no trained CO estimator or safety result
uci487-v3-20260925-01,2026-09-24T19:09:00Z,UCI487,UCI original nested ZIP,cb5ce4a6af1a51b933d1979952d7845f0e9baac54e15a81a1e3599e8b85905d4,d657e609cfee34aaef72b7c4b54945ea324f6c27;script_sha256:de7d98bc944da7a48d15f4c54a6960a2470085125c4555612a61c1b9ac304956,scripts/run_uci487_v3.py,python scripts/run_uci487_v3.py --archive data/raw/uci_487_original.zip --out results/uci487_v3,last 300s; 8/2/3 chronological days; 6/2/2 stratified positions per level; seed 20260924; ridge alphas .1 1 10 100,"{""python"": ""3.12.14"", ""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""scikit_learn"": ""1.8.0""}",20260924,results/uci487_v3/run.json,completed_lab_calibration_v3_holdout_once,13 repeated CO schedules; test only 3 days and 20 distinct positions; completed 15-min segments; no site inference
stage6-s1-a-20260925-01,2026-09-25T05:28:00Z,UCI309+SIM_PERSON,UCI original wind tunnel ZIP plus frozen simulation configuration,5e9b707e7a44b3dcaf39b62bb46597403fcdd98ec89814b15e4876694db5f41e;config:f43a465afd48861643588691a86dc47504341844ddd074ffa7d9277e4b5b532e,5f9d1716fffce67ae7b83c3f7d91128f7fb19254;script_sha256:421c322e2c718d054b95d9210fab58581b833afdf1783710d336c9483f9d81b8,scripts/run_stage6_s1_a.py,python scripts/run_stage6_s1_a.py --archive data/raw/uci_309_original.zip --config configs/stage6_s1_fixed_a.json --out results/stage6_s1_a,60 prior held-out gas files; 8 fixed simulated trajectories/faults; baseline b1m/noise0m/duration3s; 27 setting S2 sensitivity,"{""python"": ""3.12.14"", ""numpy"": ""2.3.5"", ""pandas"": ""2.2.3""}",20260925 for synthetic trajectory perturbation,results/stage6_s1_a/run.json,exploratory_lab_gas_plus_simulated_person_replay,Prior gas holdout already viewed; paths and missing overlays synthetic; no accident labels or field exposure
stage7-a-20260925-01,2026-09-25T04:07:55Z,UCI322+SB112_SEPARATE,UCI official chamber ZIP; Zenodo SB112 four XLSX,8b6323b801363e11343ba1a5a7718e76666b715e753b3a40dbdfd1838d953fe7;sb112:see results/stage7_a/run.json,57c956aa6a794416e94b428dc3461e6f2bb4107b;script_sha256:14c5f5b630bd37205cb7a2a286294e5dc2cc9113e619635aa98625cc64525ad7;frozen_config_sha256:c0702e7c4f66e30239402657ecf3857d4f358b8f7ac3ae1f19f425c0cb764bb7,scripts/run_stage7_a.py,python scripts/run_stage7_a.py,configs/stage7_a_protocol_candidate.json; UCI future blocks 300s embargo; SB112 March 08/09/10 separate days,"{""python"": ""3.12.14"", ""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""openpyxl"": ""3.1.5""}",NA deterministic,results/stage7_a/run.json,completed_lab_chamber_and_building_background_only,UCI setpoint labels; one CO and one methane continuous chamber run; SB112 separate apparatus with no manual trigger day; no Shanxi field data
stage7-b-20260925-posthoc-01,2026-09-25,UCI322,UCI original gas mixture ZIP,8b6323b801363e11343ba1a5a7718e76666b715e753b3a40dbdfd1838d953fe7,stage7_b_plan:a35c13600462caf4dbb5685e2c10d06a46ce2120;script_sha256:2bf091e2e350b8e49503cff2b1ffc7f64ea70ff03199c8d5b128e6dcbb13fc44,scripts/diagnose_stage7_b.py,python -m scripts.diagnose_stage7_b,frozen Stage7A q0.99; plan_sha256:46934c2203452e7268f655bea8d8d8a366813e969018c736997784f14e43bd07,"{""python"": ""3.12.14"", ""numpy"": ""2.3.5"", ""pandas"": ""2.2.3""}",NA,results/stage7_b/run.json,posthoc_diagnostic_only,Known original results before this posthoc analysis; does not replace Stage7A blind time holdout
stage8-bonn-2d-20260925-01,2026-09-25,Bonn_RGBD_tracking_two_sequences,Bonn RGB-D Dynamic Dataset official original ZIPs,a4810fd91ef2ea1d630b53fe0df5d76144c1b18d86ca91fb3a035debd0c9c5f5;d3ef7898529c60dc39919ea699d00490d98a2c6ae4b165610f2955b235b939b5,b070f3996380c2e7b4d48db2c693134aa541305b;script_sha256:b534457f3fd87c4bce55abb73c5c819b6b38387ecc987a70b9b2d4e6b40d7a6e,scripts/run_bonn_a2_detector.py,.venv/bin/python scripts/run_bonn_a2_detector.py,frozen 0.5 score and 0.5 IoU; 115 predetermined frames,Python 3.12.14; Torch 2.9.1+cpu; TorchVision 0.24.1+cpu; four CPU threads,NA pretrained official weights,outputs/stage8_a2_detector/summary.json,indoor_2d_similar_room_reviewed,Private summary SHA f68e6ee57157c409b651551e40d09b5c6306d135b8e3bed339080e35323d9644; see results/stage8_n1_evidence_index.json
stage8-bonn-depth-dev-20260925-01,2026-09-25,Bonn_RGBD_tracking_development,Bonn RGB-D Dynamic Dataset first sequence,a4810fd91ef2ea1d630b53fe0df5d76144c1b18d86ca91fb3a035debd0c9c5f5,11336abfb1ea956226dab9183c366d06ba024b55;script_sha256:fd20ff7dc6b9b456cea254d373281abdb4aa508b9b223a54f9c87f4f52aefb1c,scripts/evaluate_bonn_a2_depth_gate_dev.py,.venv/bin/python scripts/evaluate_bonn_a2_depth_gate_dev.py,only 58 development frames; fractions .6 .8 .9 and IQR .2 .4 .6; narrow and wide probes,Python 3.12; numpy; Pillow,NA,outputs/stage8_a2_depth_gate_dev/summary.json,indoor_depth_development_sensitivity,Private summary SHA 9fed8bd73ae78fb9a3574a810d57e28525e823e744b2a5ab2967713ff3aa5a93
stage8-bonn-region-dev-20260925-01,2026-09-25,Bonn_RGBD_tracking_development,precomputed first-sequence developer depth diagnostics,a4810fd91ef2ea1d630b53fe0df5d76144c1b18d86ca91fb3a035debd0c9c5f5,17fb36d04ea45cbb7401db7910b65b034299d0f3;script_sha256:cbac665fb99a6d4a2599c442b92703fda0cff7ed7721d48f874856e734580986,scripts/compare_bonn_a2_virtual_regions_dev.py,.venv/bin/python scripts/compare_bonn_a2_virtual_regions_dev.py,A1 approved; proposed G1 and G2 boundaries on development only,Python 3.12,NA,outputs/stage8_a2_virtual_region_dev/summary.json,indoor_region_development_candidates,Private summary SHA 6e3d638a6600be3c8a2dd64293193847d699fcce6d728b1ca282d8ec4fefeb85
stage8-bonn-repeat-20260925-01,2026-09-25T13:45:37Z,Bonn_RGBD_tracking2_similar_room,Bonn RGB-D Dynamic Dataset second sequence,d3ef7898529c60dc39919ea699d00490d98a2c6ae4b165610f2955b235b939b5,efb2192856213301d6ff1754131822694e4bad9d;script_sha256:fb91962bd690cbfefdd9713b9bf680780f2e4e3a10b4dcec09bb4793815cf0fd,scripts/evaluate_bonn_a2_repeat_depth.py,.venv/bin/python scripts/evaluate_bonn_a2_repeat_depth.py,A1 gate SHA f100f63e423911dee4c07bf49c17dada13e5729c4542ff8c0097374472654b09; G1 zone SHA cc28fbe791dae7e2c9bb77d1a8520dea25e5cfafb76fbce3385f1c99250c9974,Python 3.12; numpy; Pillow; no Jetson,NA,outputs/stage8_a2_repeat_depth/summary.json,similar_room_repeat_after_A1_G1_freeze_seen_during_QC,Private summary SHA 73ab0a2de885f94badcf5dda87ac33bce78d4b94ee8db628168b50ffbd3e4cbc; no independent human distance or site truth
stage9-uci362-20260926-01,2026-09-26T04:01:20.119923+00:00,UCI362,UCI official household wine/banana/background ZIP,7c143b9f4402a8205ebe8072c2ce0967c25741f1865e23d650e981053294f395,prior_protocol_commit:614e5149d66f86c8eb7e447840c9af00092b757e;script_sha256:561d7cb38d23656c60e49b7299b1134946e9c86c61d0e674ae2e5b19910d9bd7,scripts/run_stage9_uci362_locked.py,python scripts/run_stage9_uci362_locked.py,confirmed protocol;manifest_sha256:cd5aa93c00dbf7efb2ee61fe69c94d0acae9e64497e93bf76df94c15e37cfb26;q=0.999;G2=3 valid seconds;5min endpoint,"{""python"": ""3.12.14"", ""numpy"": ""2.3.5"", ""pandas"": ""2.2.3""}",20260926 metadata-date split only,results/stage9_uci362/locked_run/run.json,locked_once_negative_external_stress_test,No validation/test tuning; household odors only; 2 test background-only dates; 15 total stimulus records with 2 unknown
stage9-b2-dev-windows-20260926-v1,2026-09-26T13:29:04.178066+00:00,Mendeley methane_data Polish mine development 2014-03-02 to 2014-04-30,Mendeley Data 10.17632/yd7vw4c5mk.1 original ZIP,405a8b27004a2e318bf213cf209398d3d58b45bb3c7a78f159e69003ff459311,frozen_before_run:c5b2135fd0062684bafbb2048a47ec93b8cda874;script_sha256:27a9afd9f71312b85d7e359d5e1a8916ba6dd35a81d367c23ffa618e2ac493da,scripts/build_stage9_b2_development_windows.py,python scripts/build_stage9_b2_development_windows.py,confirmed B2-B config sha256:83fa16eaef827c4d2c462bf2dc97002839a448974b2ef0b7bc1370b28e595ea9;development only,"{""python"": ""3.12.14"", ""numpy"": ""2.3.5"", ""pandas"": ""2.2.3""}",NA deterministic label construction,results/stage9_b2/development_windows_v1.json,development_proxy_labels_only_no_model,"Selection/reserved dates not used for statistics or scoring; CSV reader may parse a later selection-date chunk before stopping. Raw seconds are publisher aligned/forward-filled. Event starts are sensor proxy crossings, not releases or accidents."
