rows,missing_cells,nonfinite_cells,first_s,last_s,duplicate_timestamps,backward_timestamps,median_positive_step_s,maximum_step_s,day_file,co_min_ppm,co_max_ppm,co_positive_fraction,co_unique_values,humidity_min_pct,humidity_max_pct,temperature_min_c,temperature_max_c,heater_min_v,heater_max_v,flow_min_ml_min,flow_max_ml_min,sensor_resistance_nonpositive_cells,co_negative_rows,humidity_outside_0_100_rows,humidity_above_protocol_75_rows,temperature_below_15_rows,flow_zero_rows,sensor1_co_pearson,sensor1_humidity_pearson,sensor1_heater_pearson,plateau_window_count,plateau_co_level_count,plateau_level_repetitions_min,plateau_level_repetitions_max
295719,0,0,0.0,90909.778,0,0,0.30799999999726424,0.39800000000104774,20160930_203718.csv,0.0,20.0,0.891129754936274,309,17.5,71.96,23.7184,26.94,0.199,0.901,0.0,275.1803,0,0,0,0,0,9,0.010086275881624923,-0.09246448374462353,-0.35645560620261063,100,10,10,10
295516,0,0,0.0,90909.585,0,0,0.3079999999999927,0.786999999996624,20161001_231809.csv,0.0,20.0,0.8910651199935029,310,16.39,72.92,26.14,26.62,0.199,0.9009,0.0,272.6063,0,0,0,0,0,8,0.010314746102042935,-0.09146446410780797,-0.35963916973344906,100,10,10,10
295700,0,0,0.0,90901.726,0,1,0.30799999999726424,0.3989999999976135,20161003_085624.csv,0.0,20.0,0.8912174501183632,298,16.43,72.98,25.38,27.42,0.199,0.901,0.0,262.3167,0,0,0,0,0,9,0.008699455408313569,-0.09174201958752023,-0.3582547944875694,100,10,10,10
295653,0,0,0.0,90909.727,0,0,0.3079999999999927,0.39900000000125146,20161004_104124.csv,0.0,20.0,0.8911832452232854,303,16.83,70.39,21.86,25.66,0.199,0.9026,0.0,314.4902,0,0,0,0,0,9,-0.007586508386161996,-0.09733657895620397,-0.40015907507954,100,10,10,10
295534,0,0,0.0,90909.697,0,0,0.3079999999999927,0.5100000000020373,20161005_140846.csv,0.0,20.0,0.8911631149038689,303,16.38,72.38,23.58,26.7,0.199,0.901,0.0,273.7196,0,0,0,0,0,12,0.0010818936099903577,-0.09671271430632884,-0.3709798856225307,100,10,10,10
295499,0,0,0.0,90909.668,0,0,0.3080000000045402,0.39800000000104774,20161006_182224.csv,0.0,20.0,0.8912449788324157,302,16.35,74.65,25.38,27.18,0.198,0.9009,0.0,321.2093,0,0,0,0,0,8,0.012403354065948497,-0.09713139198759949,-0.3664985146598676,100,10,10,10
295700,0,0,0.0,90909.553,0,0,0.30799999999908323,0.39800000000104774,20161007_210049.csv,0.0,20.0,0.8911295231653703,304,16.38,72.88,25.98,26.62,0.198,0.9,0.0,275.6979,0,0,0,0,0,8,0.009935988003527352,-0.09360746208709446,-0.363964072565493,100,10,10,10
295524,0,0,0.0,90909.588,0,0,0.30799999999726424,0.7419999999983702,20161008_234508.csv,0.0,20.0,0.8910816042013509,305,16.39,71.96,26.14,26.5,0.198,0.9,0.0,272.8193,0,0,0,0,0,8,0.010531334750537889,-0.09972250493983228,-0.3665000321598392,100,10,10,10
295747,0,0,0.0,90909.582,0,0,0.30799999999726424,0.40800000001036096,20161010_095046.csv,0.0,20.0,0.8912415003364362,301,16.37,71.84,25.14,26.3,0.198,0.8999,0.0,271.5177,0,0,0,0,0,8,0.009349262734243559,-0.09652183495349635,-0.374637582738058,100,10,10,10
295391,0,0,0.0,90909.729,0,0,0.3080000000009022,3.790999999997439,20161011_113032.csv,0.0,20.0,0.8914963556777289,305,16.35,71.29,25.02,26.26,0.198,0.9,0.0,275.3594,0,0,0,0,0,5,0.004744089884697641,-0.09276665612211445,-0.37526615848162603,100,10,10,10
295679,0,0,0.0,90907.614,0,0,0.30799999999908323,0.3989999999976135,20161013_143355.csv,0.0,20.0,0.8911522292756672,298,20.78,83.81,9.9032,25.86,0.1982,0.9,0.0,275.2305,0,0,0,1025,2,11,-0.012411070335807838,-0.06631508237995885,-0.32660301152257515,100,10,10,10
295881,0,0,0.0,90910.13,0,0,0.3070000000006985,0.39899999999033753,20161014_184659.csv,0.0,20.0,0.8912738567194244,302,17.98,71.61,24.5,25.74,0.1982,0.9,0.0,273.9747,0,0,0,0,0,10,0.005449704581330217,-0.08284451811855803,-0.37415596035709964,100,10,10,10
295617,0,0,0.0,90909.77,0,0,0.3080000000009022,0.408000000003085,20161016_053656.csv,0.0,20.0,0.8911226350311383,299,16.34,72.61,24.46,25.66,0.198,0.9,0.0,273.0725,0,0,0,0,0,9,0.016112051738180738,-0.08844405969362462,-0.37072185449364425,100,10,10,10
