mode,source,method,duration_s,n_files,detected,detected_within_60_s,false_files,false_events,background_seconds,delay_median_detected_s,delay_p90_detected_s,already_g2_at_release,pre_release_seeded_events,invalid_monitor_seconds
A,gas,single,1,60,58,54,1,1,2100,23.0,38.300000000000004,1,0,0
A,gas,single,3,60,58,54,1,1,2100,25.0,40.300000000000004,1,0,0
A,gas,single,5,60,58,54,0,0,2100,27.0,42.300000000000004,0,1,0
A,gas,multi,1,60,59,57,1,1,2100,22.0,34.2,1,0,0
A,gas,multi,3,60,59,57,1,1,2100,24.0,36.2,1,0,0
A,gas,multi,5,60,59,57,0,0,2100,26.0,38.2,0,1,0
A,gas,ewma,1,60,59,57,7,8,2100,21.0,31.200000000000003,2,0,0
A,gas,ewma,3,60,59,57,4,4,2100,23.0,33.2,2,0,0
A,gas,ewma,5,60,59,57,1,1,2100,25.0,35.2,1,1,0
A,gas,cusum,1,60,54,54,6,6,2100,23.0,30.400000000000006,6,0,0
A,gas,cusum,3,60,54,54,4,4,2100,25.0,32.400000000000006,4,2,0
A,gas,cusum,5,60,54,54,4,4,2100,27.0,34.400000000000006,4,2,0
B,gas,single,1,60,56,54,0,0,2100,28.0,38.5,0,0,0
B,gas,single,3,60,56,54,0,0,2100,30.0,40.5,0,0,0
B,gas,single,5,60,56,53,0,0,2100,32.0,42.5,0,0,0
B,gas,multi,1,60,48,46,3,6,2100,31.0,39.300000000000004,1,0,0
B,gas,multi,3,60,48,46,2,3,2100,33.0,41.300000000000004,1,0,0
B,gas,multi,5,60,48,46,2,3,2100,35.0,43.300000000000004,1,0,0
B,gas,ewma,1,60,48,47,2,2,2100,32.5,40.300000000000004,1,0,0
B,gas,ewma,3,60,48,47,2,2,2100,34.5,42.300000000000004,1,0,0
B,gas,ewma,5,60,48,47,2,2,2100,36.5,44.300000000000004,1,0,0
B,gas,cusum,1,60,49,46,5,5,2100,44.0,55.0,5,0,0
B,gas,cusum,3,60,49,45,5,5,2100,46.0,57.0,5,0,0
B,gas,cusum,5,60,49,45,2,2,2100,48.0,59.0,2,3,0
