trial,configuration,split
000_Et_H_CO_n,H/CO/n,train
001_Et_L_Me_H,L/Me/H,train
002_Et_H_CO_H,H/CO/H,test
003_Et_H_Me_n,H/Me/n,train
004_Et_L_CO_H,L/CO/H,train
005_Et_L_Me_M,L/Me/M,train
006_Et_M_CO_M,M/CO/M,validation
007_Et_L_Me_L,L/Me/L,test
008_Et_H_CO_L,H/CO/L,test
009_Et_M_Me_L,M/Me/L,test
010_Et_M_CO_n,M/CO/n,train
011_Et_n_Me_L,n/Me/L,test
012_Et_n_CO_H,n/CO/H,test
013_Et_L_Me_n,L/Me/n,train
014_Et_L_CO_n,L/CO/n,test
015_Et_n_Me_M,n/Me/M,train
016_Et_L_CO_L,L/CO/L,train
017_Et_H_Me_H,H/Me/H,train
018_Et_L_CO_M,L/CO/M,train
019_Et_M_Me_H,M/Me/H,test
020_Et_n_CO_H,n/CO/H,train
021_Et_L_Me_n,L/Me/n,train
022_Et_M_CO_L,M/CO/L,test
023_Et_H_Me_L,H/Me/L,train
024_Et_n_CO_M,n/CO/M,train
025_Et_n_Me_H,n/Me/H,train
026_Et_M_CO_H,M/CO/H,validation
027_Et_M_Me_M,M/Me/M,test
028_Et_H_CO_M,H/CO/M,test
029_Et_M_Me_n,M/Me/n,train
030_Et_n_CO_L,n/CO/L,train
031_Et_H_Me_M,H/Me/M,validation
032_Et_H_CO_n,H/CO/n,train
033_Et_L_Me_H,L/Me/H,test
034_Et_H_CO_H,H/CO/H,train
035_Et_H_Me_n,H/Me/n,test
036_Et_L_CO_H,L/CO/H,test
037_Et_L_Me_M,L/Me/M,validation
038_Et_M_CO_M,M/CO/M,train
039_Et_L_Me_L,L/Me/L,test
040_Et_H_CO_L,H/CO/L,train
041_Et_M_Me_L,M/Me/L,test
042_Et_L_CO_n,L/CO/n,test
043_Et_n_Me_M,n/Me/M,test
044_Et_M_CO_n,M/CO/n,validation
045_Et_n_Me_L,n/Me/L,train
046_Et_n_CO_H,n/CO/H,test
047_Et_L_Me_n,L/Me/n,train
048_Et_L_CO_n,L/CO/n,train
049_Et_n_Me_M,n/Me/M,train
050_Et_L_CO_L,L/CO/L,train
051_Et_H_Me_H,H/Me/H,test
052_Et_L_CO_M,L/CO/M,train
053_Et_M_Me_H,M/Me/H,test
054_Et_M_CO_L,M/CO/L,test
055_Et_H_Me_L,H/Me/L,validation
056_Et_n_CO_M,n/CO/M,validation
057_Et_n_Me_H,n/Me/H,train
058_Et_M_CO_H,M/CO/H,test
059_Et_M_Me_M,M/Me/M,validation
060_Et_H_CO_M,H/CO/M,train
061_Et_M_Me_n,M/Me/n,test
062_Et_n_CO_L,n/CO/L,test
063_Et_H_Me_M,H/Me/M,train
064_Et_L_CO_L,L/CO/L,validation
065_Et_H_Me_H,H/Me/H,train
066_Et_H_CO_n,H/CO/n,train
067_Et_L_Me_H,L/Me/H,train
068_Et_H_CO_H,H/CO/H,train
069_Et_H_Me_n,H/Me/n,validation
070_Et_L_CO_H,L/CO/H,test
071_Et_L_Me_M,L/Me/M,train
072_Et_M_CO_M,M/CO/M,train
073_Et_L_Me_L,L/Me/L,train
074_Et_H_CO_L,H/CO/L,test
075_Et_M_Me_L,M/Me/L,train
076_Et_M_CO_n,M/CO/n,train
077_Et_n_Me_L,n/Me/L,validation
078_Et_n_CO_H,n/CO/H,validation
079_Et_L_Me_n,L/Me/n,test
080_Et_L_CO_n,L/CO/n,validation
081_Et_n_Me_M,n/Me/M,validation
082_Et_L_CO_L,L/CO/L,test
083_Et_H_Me_H,H/Me/H,test
084_Et_L_CO_M,L/CO/M,test
085_Et_M_Me_H,M/Me/H,train
086_Et_L_CO_M,L/CO/M,validation
087_Et_M_Me_H,M/Me/H,validation
088_Et_M_CO_L,M/CO/L,train
089_Et_H_Me_L,H/Me/L,train
090_Et_n_CO_M,n/CO/M,test
091_Et_n_Me_H,n/Me/H,test
092_Et_M_CO_H,M/CO/H,train
093_Et_M_Me_M,M/Me/M,train
094_Et_H_CO_M,H/CO/M,test
095_Et_M_Me_n,M/Me/n,test
096_Et_n_CO_L,n/CO/L,train
097_Et_H_Me_M,H/Me/M,train
098_Et_H_CO_n,H/CO/n,validation
099_Et_L_Me_H,L/Me/H,test
100_Et_H_CO_H,H/CO/H,train
101_Et_H_Me_n,H/Me/n,train
102_Et_L_CO_H,L/CO/H,train
103_Et_L_Me_M,L/Me/M,test
104_Et_M_CO_M,M/CO/M,train
105_Et_L_Me_L,L/Me/L,validation
106_Et_H_CO_L,H/CO/L,train
107_Et_M_Me_L,M/Me/L,train
108_Et_M_CO_L,M/CO/L,train
109_Et_H_Me_L,H/Me/L,test
110_Et_M_CO_n,M/CO/n,test
111_Et_n_Me_L,n/Me/L,train
112_Et_n_CO_H,n/CO/H,train
113_Et_L_Me_n,L/Me/n,validation
114_Et_L_CO_n,L/CO/n,train
115_Et_n_Me_M,n/Me/M,train
116_Et_L_CO_L,L/CO/L,test
117_Et_H_Me_H,H/Me/H,train
118_Et_L_CO_M,L/CO/M,test
119_Et_M_Me_H,M/Me/H,train
120_Et_M_CO_L,M/CO/L,train
121_Et_H_Me_L,H/Me/L,train
122_Et_n_CO_M,n/CO/M,train
123_Et_n_Me_H,n/Me/H,train
124_Et_M_CO_H,M/CO/H,train
125_Et_M_Me_M,M/Me/M,test
126_Et_H_CO_M,H/CO/M,validation
127_Et_M_Me_n,M/Me/n,train
128_Et_n_CO_L,n/CO/L,test
129_Et_H_Me_M,H/Me/M,test
130_Et_n_CO_M,n/CO/M,train
131_Et_n_Me_H,n/Me/H,validation
132_Et_H_CO_n,H/CO/n,test
133_Et_L_Me_H,L/Me/H,validation
134_Et_H_CO_H,H/CO/H,validation
135_Et_H_Me_n,H/Me/n,test
136_Et_L_CO_H,L/CO/H,validation
137_Et_L_Me_M,L/Me/M,train
138_Et_M_CO_M,M/CO/M,test
139_Et_L_Me_L,L/Me/L,train
140_Et_H_CO_L,H/CO/L,validation
141_Et_M_Me_L,M/Me/L,validation
142_Et_M_CO_n,M/CO/n,train
143_Et_n_Me_L,n/Me/L,train
144_Et_n_CO_H,n/CO/H,train
145_Et_L_Me_n,L/Me/n,test
146_Et_L_CO_n,L/CO/n,train
147_Et_n_Me_M,n/Me/M,test
148_Et_L_CO_L,L/CO/L,train
149_Et_H_Me_H,H/Me/H,validation
150_Et_L_CO_M,L/CO/M,train
151_Et_M_Me_H,M/Me/H,train
152_Et_M_CO_H,M/CO/H,train
153_Et_M_Me_M,M/Me/M,train
154_Et_M_CO_L,M/CO/L,validation
155_Et_H_Me_L,H/Me/L,test
156_Et_n_CO_M,n/CO/M,test
157_Et_n_Me_H,n/Me/H,test
158_Et_M_CO_H,M/CO/H,test
159_Et_M_Me_M,M/Me/M,train
160_Et_H_CO_M,H/CO/M,train
161_Et_M_Me_n,M/Me/n,validation
162_Et_n_CO_L,n/CO/L,train
163_Et_H_Me_M,H/Me/M,test
164_Et_H_CO_n,H/CO/n,test
165_Et_L_Me_H,L/Me/H,train
166_Et_H_CO_H,H/CO/H,test
167_Et_H_Me_n,H/Me/n,train
168_Et_L_CO_H,L/CO/H,train
169_Et_L_Me_M,L/Me/M,test
170_Et_M_CO_M,M/CO/M,test
171_Et_L_Me_L,L/Me/L,train
172_Et_H_CO_L,H/CO/L,train
173_Et_M_Me_L,M/Me/L,train
174_Et_H_CO_M,H/CO/M,train
175_Et_M_Me_n,M/Me/n,train
176_Et_M_CO_n,M/CO/n,test
177_Et_n_Me_L,n/Me/L,test
178_Et_n_CO_L,n/CO/L,validation
179_Et_H_Me_M,H/Me/M,train
