mode,source,method,split,control,n_files,detected,detected_within_60_s,false_files,false_events,background_seconds,delay_median_detected_s,delay_p90_detected_s,already_g2_at_release,pre_release_seeded_events,invalid_monitor_seconds
A,gas,single,validation,real_laboratory_data,30,28,28,0,0,1050,24.0,30.900000000000002,0,0,0
A,gas,single,test,real_laboratory_data,60,58,54,1,1,2100,25.0,40.300000000000004,1,0,0
A,gas,single,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
A,gas,multi,validation,real_laboratory_data,30,28,28,0,0,1050,23.0,31.900000000000002,0,0,0
A,gas,multi,test,real_laboratory_data,60,59,57,1,1,2100,24.0,36.2,1,0,0
A,gas,multi,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
A,gas,ewma,validation,real_laboratory_data,30,29,29,1,1,1050,22.0,28.799999999999997,0,0,0
A,gas,ewma,test,real_laboratory_data,60,59,57,4,4,2100,23.0,33.2,2,0,0
A,gas,ewma,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
A,gas,cusum,validation,real_laboratory_data,30,29,28,1,1,1050,25.0,33.4,1,0,0
A,gas,cusum,test,real_laboratory_data,60,54,54,4,4,2100,25.0,32.400000000000006,4,2,0
A,gas,cusum,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
A,ambient,multi,validation,real_laboratory_data,30,10,6,0,0,1050,39.5,137.89999999999998,0,0,0
A,ambient,multi,test,real_laboratory_data,60,19,7,1,1,2100,80.0,161.79999999999998,0,1,0
A,ambient,ewma,validation,real_laboratory_data,30,8,3,0,0,1050,99.0,165.8,0,0,0
A,ambient,ewma,test,real_laboratory_data,60,16,3,0,0,2100,105.0,155.0,0,1,0
A,ambient,cusum,validation,real_laboratory_data,30,16,7,0,0,1050,61.5,141.0,0,0,0
A,ambient,cusum,test,real_laboratory_data,60,43,17,1,1,2100,73.0,166.60000000000002,1,0,0
B,gas,single,validation,real_laboratory_data,30,26,23,0,0,1050,30.5,59.0,0,0,0
B,gas,single,test,real_laboratory_data,60,56,54,0,0,2100,30.0,40.5,0,0,0
B,gas,single,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
B,gas,multi,validation,real_laboratory_data,30,23,21,0,0,1050,35.0,47.400000000000006,0,0,0
B,gas,multi,test,real_laboratory_data,60,48,46,2,3,2100,33.0,41.300000000000004,1,0,0
B,gas,multi,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
B,gas,ewma,validation,real_laboratory_data,30,23,21,0,0,1050,37.0,48.0,0,0,0
B,gas,ewma,test,real_laboratory_data,60,48,47,2,2,2100,34.5,42.300000000000004,1,0,0
B,gas,ewma,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
B,gas,cusum,validation,real_laboratory_data,30,24,23,0,0,1050,43.0,55.0,0,0,0
B,gas,cusum,test,real_laboratory_data,60,49,45,5,5,2100,46.0,57.0,5,0,0
B,gas,cusum,test,synthetic_frozen_gas,60,0,0,0,0,2100,,,0,0,0
