trial,scenario,completed_time_s,gas_source,person_source,sim_true_x_m,sim_true_y_m,sim_observed_x_m,sim_observed_y_m,sim_observed_signed_distance_m,position_error_bound_m,gas_score_from_lab,gas_evidence,person_relation,Qg,Qp,person_zone_id,coverage_zone_id_assumption,same_zone,gas_age_s,joint_level,gas_level,person_level,known_lower_bound,unknown,paired_under_assumption,uncertainty_reason
002_Et_H_CO_H,S0_outside,26,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,1.1846824877986353,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,27,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,0.9598522346397701,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,28,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,1.011736139214893,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,29,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,1.011736139214893,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,30,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,1.1241512657943253,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,31,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,1.1241512657943253,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,32,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,0.9555285759251766,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,33,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,0.9555285759251766,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,34,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,0.7869058860560277,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
002_Et_H_CO_H,S0_outside,35,UCI309_laboratory,simulation,-3.0,1.0,-3.0,1.0,3.0,0.0,0.9555285759251766,G0,P0,valid,valid,zone_A,zone_A,True,0,0.0,0.0,0.0,0,False,True,
