duration_s,buffer_m,position_error_bound_m,trials,trials_with_joint_L3,total_L3_seconds_across_replays,unknown_seconds_across_replays,boundary_uncertain_seconds_across_replays
1,0.5,0.0,60,58,2389,0,0
1,0.5,0.2,60,58,1962,660,660
1,0.5,0.5,60,58,845,1920,1920
1,1.0,0.0,60,58,2701,0,0
1,1.0,0.2,60,58,2219,600,600
1,1.0,0.5,60,58,845,2460,2460
1,2.0,0.0,60,58,3215,0,0
1,2.0,0.2,60,58,2718,900,900
1,2.0,0.5,60,58,1339,2700,2700
3,0.5,0.0,60,58,2367,0,0
3,0.5,0.2,60,58,1948,660,660
3,0.5,0.5,60,57,842,1920,1920
3,1.0,0.0,60,58,2664,0,0
3,1.0,0.2,60,58,2196,600,600
3,1.0,0.5,60,57,842,2460,2460
3,2.0,0.0,60,58,3097,0,0
3,2.0,0.2,60,58,2611,900,900
3,2.0,0.5,60,57,1269,2700,2700
5,0.5,0.0,60,58,2337,0,0
5,0.5,0.2,60,58,1927,660,660
5,0.5,0.5,60,57,840,1920,1920
5,1.0,0.0,60,58,2606,0,0
5,1.0,0.2,60,58,2155,600,600
5,1.0,0.5,60,57,840,2460,2460
5,2.0,0.0,60,58,2981,0,0
5,2.0,0.2,60,58,2498,900,900
5,2.0,0.5,60,57,1204,2700,2700
