trial,configuration,scenario,gas_source,person_source,gas_detected_during_release,gas_false_file_before_release,steps,g2_seconds,p2_seconds,joint_l3_seconds,first_joint_l3_s,pre_release_joint_l3_seconds,unknown_seconds,paired_seconds,zone_mismatch_seconds,boundary_uncertain_seconds,gas_invalid_seconds,person_invalid_seconds,person_p2_gas_missing_lower_bound_fail,gas_g2_person_missing_lower_bound_fail
002_Et_H_CO_H,H/CO/H,S0_outside,UCI309_laboratory,simulation,1,0,215,161,0,0,,0,0,215,0,0,0,0,0,0
002_Et_H_CO_H,H/CO/H,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
002_Et_H_CO_H,H/CO/H,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,161,35,49,85.0,0,0,215,0,0,0,0,0,0
002_Et_H_CO_H,H/CO/H,S3_separate_events,UCI309_laboratory,simulation,1,0,215,161,12,0,,0,0,215,0,0,0,0,0,0
002_Et_H_CO_H,H/CO/H,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,149,35,37,85.0,0,10,205,0,0,10,0,0,0
002_Et_H_CO_H,H/CO/H,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,161,25,39,85.0,0,10,205,0,0,0,10,0,0
002_Et_H_CO_H,H/CO/H,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,161,35,39,85.0,0,10,205,10,0,0,0,0,0
002_Et_H_CO_H,H/CO/H,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,151,35,39,85.0,0,10,205,0,0,10,0,0,0
007_Et_L_Me_L,L/Me/L,S0_outside,UCI309_laboratory,simulation,1,0,215,156,0,0,,0,0,215,0,0,0,0,0,0
007_Et_L_Me_L,L/Me/L,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
007_Et_L_Me_L,L/Me/L,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,156,35,49,85.0,0,0,215,0,0,0,0,0,0
007_Et_L_Me_L,L/Me/L,S3_separate_events,UCI309_laboratory,simulation,1,0,215,156,12,0,,0,0,215,0,0,0,0,0,0
007_Et_L_Me_L,L/Me/L,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,144,35,37,85.0,0,10,205,0,0,10,0,0,0
007_Et_L_Me_L,L/Me/L,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,156,25,39,85.0,0,10,205,0,0,0,10,0,0
007_Et_L_Me_L,L/Me/L,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,156,35,39,85.0,0,10,205,10,0,0,0,0,0
007_Et_L_Me_L,L/Me/L,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,146,35,39,85.0,0,10,205,0,0,10,0,0,0
008_Et_H_CO_L,H/CO/L,S0_outside,UCI309_laboratory,simulation,1,0,215,159,0,0,,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,H/CO/L,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
008_Et_H_CO_L,H/CO/L,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,159,35,49,85.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,H/CO/L,S3_separate_events,UCI309_laboratory,simulation,1,0,215,159,12,0,,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,H/CO/L,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,147,35,37,85.0,0,10,205,0,0,10,0,0,0
008_Et_H_CO_L,H/CO/L,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,159,25,39,85.0,0,10,205,0,0,0,10,0,0
008_Et_H_CO_L,H/CO/L,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,159,35,39,85.0,0,10,205,10,0,0,0,0,0
008_Et_H_CO_L,H/CO/L,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,149,35,39,85.0,0,10,205,0,0,10,0,0,0
009_Et_M_Me_L,M/Me/L,S0_outside,UCI309_laboratory,simulation,1,0,215,160,0,0,,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,M/Me/L,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
009_Et_M_Me_L,M/Me/L,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,160,35,49,85.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,M/Me/L,S3_separate_events,UCI309_laboratory,simulation,1,0,215,160,12,0,,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,M/Me/L,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,148,35,37,85.0,0,10,205,0,0,10,0,0,0
009_Et_M_Me_L,M/Me/L,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,160,25,39,85.0,0,10,205,0,0,0,10,0,0
009_Et_M_Me_L,M/Me/L,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,160,35,39,85.0,0,10,205,10,0,0,0,0,0
009_Et_M_Me_L,M/Me/L,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,150,35,39,85.0,0,10,205,0,0,10,0,0,0
011_Et_n_Me_L,n/Me/L,S0_outside,UCI309_laboratory,simulation,0,0,215,0,0,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,n/Me/L,S1_early_background,UCI309_laboratory,simulation,0,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
011_Et_n_Me_L,n/Me/L,S2_possible_overlap,UCI309_laboratory,simulation,0,0,215,0,35,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,n/Me/L,S3_separate_events,UCI309_laboratory,simulation,0,0,215,0,12,0,,0,0,215,0,0,0,0,0,0
011_Et_n_Me_L,n/Me/L,S4_gas_dropout,UCI309_laboratory,simulation,0,0,215,0,35,0,,0,10,205,0,0,10,0,0,0
011_Et_n_Me_L,n/Me/L,S4_person_dropout,UCI309_laboratory,simulation,0,0,215,0,25,0,,0,10,205,0,0,0,10,0,0
011_Et_n_Me_L,n/Me/L,S4_wrong_zone,UCI309_laboratory,simulation,0,0,215,0,35,0,,0,10,205,10,0,0,0,0,0
011_Et_n_Me_L,n/Me/L,S4_stale_gas,UCI309_laboratory,simulation,0,0,215,0,35,0,,0,10,205,0,0,10,0,0,0
012_Et_n_CO_H,n/CO/H,S0_outside,UCI309_laboratory,simulation,1,0,215,160,0,0,,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,n/CO/H,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
012_Et_n_CO_H,n/CO/H,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,160,35,49,85.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,n/CO/H,S3_separate_events,UCI309_laboratory,simulation,1,0,215,160,12,0,,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,n/CO/H,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,148,35,37,85.0,0,10,205,0,0,10,0,0,0
012_Et_n_CO_H,n/CO/H,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,160,25,39,85.0,0,10,205,0,0,0,10,0,0
012_Et_n_CO_H,n/CO/H,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,160,35,39,85.0,0,10,205,10,0,0,0,0,0
012_Et_n_CO_H,n/CO/H,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,150,35,39,85.0,0,10,205,0,0,10,0,0,0
014_Et_L_CO_n,L/CO/n,S0_outside,UCI309_laboratory,simulation,1,0,215,150,0,0,,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,L/CO/n,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
014_Et_L_CO_n,L/CO/n,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,150,35,43,91.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,L/CO/n,S3_separate_events,UCI309_laboratory,simulation,1,0,215,150,12,0,,0,0,215,0,0,0,0,0,0
