file,split,method,q,setpoint_onset_s,first_g2_s,delay_s,preexisting_evidence_events,already_active_at_onset
ethylene_CO.txt,train,B0,0.99,3207.01,3240,32.99,0,0
ethylene_CO.txt,train,B0,0.99,3489.01,3521,31.99,0,0
ethylene_CO.txt,train,B0,0.99,3721.01,3757,35.99,0,0
ethylene_CO.txt,train,B0,0.99,3937.01,3980,42.99,0,0
ethylene_CO.txt,train,B0,0.99,11704.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,14394.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,14594.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,14794.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,15694.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,15894.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,16094.01,,,0,0
ethylene_CO.txt,validation,B0,0.99,16294.01,,,0,0
ethylene_CO.txt,test,B0,0.99,27169.01,,,0,0
ethylene_CO.txt,test,B0,0.99,27369.01,,,0,0
ethylene_CO.txt,test,B0,0.99,27569.01,,,0,0
ethylene_CO.txt,test,B0,0.99,28469.01,,,0,0
ethylene_CO.txt,test,B0,0.99,28669.01,,,0,0
ethylene_CO.txt,test,B0,0.99,28869.01,,,0,0
ethylene_CO.txt,test,B0,0.99,29163.01,,,0,0
ethylene_CO.txt,test,B0,0.99,29555.01,,,0,0
ethylene_CO.txt,test,B0,0.99,30061.01,,,0,0
ethylene_CO.txt,test,B0,0.99,30668.01,,,0,0
ethylene_CO.txt,test,B0,0.99,30866.01,,,0,0
ethylene_CO.txt,test,B0,0.99,31194.01,,,0,0
ethylene_CO.txt,test,B0,0.99,31565.01,,,0,0
ethylene_CO.txt,test,B0,0.99,31778.01,,,0,0
ethylene_CO.txt,train,B0,0.995,3207.01,3241,33.99,0,0
ethylene_CO.txt,train,B0,0.995,3489.01,3522,32.99,0,0
ethylene_CO.txt,train,B0,0.995,3721.01,3757,35.99,0,0
ethylene_CO.txt,train,B0,0.995,3937.01,3982,44.99,0,0
ethylene_CO.txt,train,B0,0.995,11704.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,14394.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,14594.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,14794.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,15694.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,15894.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,16094.01,,,0,0
ethylene_CO.txt,validation,B0,0.995,16294.01,,,0,0
ethylene_CO.txt,test,B0,0.995,27169.01,,,0,0
ethylene_CO.txt,test,B0,0.995,27369.01,,,0,0
ethylene_CO.txt,test,B0,0.995,27569.01,,,0,0
ethylene_CO.txt,test,B0,0.995,28469.01,,,0,0
ethylene_CO.txt,test,B0,0.995,28669.01,,,0,0
ethylene_CO.txt,test,B0,0.995,28869.01,,,0,0
ethylene_CO.txt,test,B0,0.995,29163.01,,,0,0
ethylene_CO.txt,test,B0,0.995,29555.01,,,0,0
ethylene_CO.txt,test,B0,0.995,30061.01,,,0,0
ethylene_CO.txt,test,B0,0.995,30668.01,,,0,0
ethylene_CO.txt,test,B0,0.995,30866.01,,,0,0
ethylene_CO.txt,test,B0,0.995,31194.01,,,0,0
ethylene_CO.txt,test,B0,0.995,31565.01,,,0,0
ethylene_CO.txt,test,B0,0.995,31778.01,,,0,0
ethylene_CO.txt,train,B1,0.99,3207.01,3225,17.99,0,0
ethylene_CO.txt,train,B1,0.99,3489.01,3507,17.99,0,0
ethylene_CO.txt,train,B1,0.99,3721.01,3740,18.99,0,0
ethylene_CO.txt,train,B1,0.99,3937.01,3957,19.99,0,0
ethylene_CO.txt,train,B1,0.99,11704.01,11723,18.99,0,0
ethylene_CO.txt,validation,B1,0.99,14394.01,14414,19.99,0,0
ethylene_CO.txt,validation,B1,0.99,14594.01,14614,19.99,0,0
ethylene_CO.txt,validation,B1,0.99,14794.01,14814,19.99,0,0
ethylene_CO.txt,validation,B1,0.99,15694.01,15714,19.99,0,0
