file,split,method,q,setpoint_onset_s,first_g2_s,delay_s,preexisting_evidence_events,already_active_at_onset
ethylene_methane.txt,train,B0,0.99,9546.01,9565,18.99,0,0
ethylene_methane.txt,train,B0,0.99,9942.01,9962,19.99,0,0
ethylene_methane.txt,train,B0,0.99,10230.01,10248,17.99,0,0
ethylene_methane.txt,train,B0,0.99,10532.01,10550,17.99,0,0
ethylene_methane.txt,train,B0,0.99,10817.01,10835,17.99,0,0
ethylene_methane.txt,train,B0,0.99,11044.01,11062,17.99,0,0
ethylene_methane.txt,train,B0,0.99,11502.01,11521,18.99,0,0
ethylene_methane.txt,validation,B0,0.99,14134.01,14154,19.99,0,0
ethylene_methane.txt,validation,B0,0.99,14334.01,14352,17.99,0,0
ethylene_methane.txt,validation,B0,0.99,14534.01,14552,17.99,0,0
ethylene_methane.txt,validation,B0,0.99,15434.01,15454,19.99,0,0
ethylene_methane.txt,validation,B0,0.99,15634.01,15652,17.99,0,0
ethylene_methane.txt,validation,B0,0.99,15834.01,15852,17.99,0,0
ethylene_methane.txt,validation,B0,0.99,16141.01,16160,18.99,0,0
ethylene_methane.txt,validation,B0,0.99,16424.01,16443,18.99,0,0
ethylene_methane.txt,validation,B0,0.99,16661.01,16679,17.99,0,0
ethylene_methane.txt,validation,B0,0.99,16887.01,16906,18.99,0,0
ethylene_methane.txt,validation,B0,0.99,19983.01,20003,19.99,0,0
ethylene_methane.txt,validation,B0,0.99,20399.01,20420,20.99,0,0
ethylene_methane.txt,validation,B0,0.99,21358.01,21379,20.99,0,0
ethylene_methane.txt,validation,B0,0.99,23624.01,23643,18.99,0,0
ethylene_methane.txt,validation,B0,0.99,23842.01,23861,18.99,0,0
ethylene_methane.txt,test,B0,0.99,26932.01,26953,20.99,0,0
ethylene_methane.txt,test,B0,0.99,27132.01,27152,19.99,0,0
ethylene_methane.txt,test,B0,0.99,27332.01,27352,19.99,0,0
ethylene_methane.txt,test,B0,0.99,28232.01,28253,20.99,0,0
ethylene_methane.txt,test,B0,0.99,28432.01,28452,19.99,0,0
ethylene_methane.txt,test,B0,0.99,28632.01,28652,19.99,0,0
ethylene_methane.txt,test,B0,0.99,28913.01,28934,20.99,0,0
ethylene_methane.txt,test,B0,0.99,29218.01,29238,19.99,0,0
ethylene_methane.txt,test,B0,0.99,29665.01,29687,21.99,0,0
ethylene_methane.txt,test,B0,0.99,30966.01,30987,20.99,0,0
ethylene_methane.txt,test,B0,0.99,31164.01,31184,19.99,0,0
ethylene_methane.txt,test,B0,0.99,31402.01,31423,20.99,0,0
ethylene_methane.txt,test,B0,0.99,36231.01,36253,21.99,0,0
ethylene_methane.txt,train,B0,0.995,9546.01,9566,19.99,0,0
ethylene_methane.txt,train,B0,0.995,9942.01,9962,19.99,0,0
ethylene_methane.txt,train,B0,0.995,10230.01,10248,17.99,0,0
ethylene_methane.txt,train,B0,0.995,10532.01,10550,17.99,0,0
ethylene_methane.txt,train,B0,0.995,10817.01,10835,17.99,0,0
ethylene_methane.txt,train,B0,0.995,11044.01,11062,17.99,0,0
ethylene_methane.txt,train,B0,0.995,11502.01,11521,18.99,0,0
ethylene_methane.txt,validation,B0,0.995,14134.01,14154,19.99,0,0
ethylene_methane.txt,validation,B0,0.995,14334.01,14352,17.99,0,0
ethylene_methane.txt,validation,B0,0.995,14534.01,14552,17.99,0,0
ethylene_methane.txt,validation,B0,0.995,15434.01,15454,19.99,0,0
ethylene_methane.txt,validation,B0,0.995,15634.01,15652,17.99,0,0
ethylene_methane.txt,validation,B0,0.995,15834.01,15853,18.99,0,0
ethylene_methane.txt,validation,B0,0.995,16141.01,16160,18.99,0,0
ethylene_methane.txt,validation,B0,0.995,16424.01,16443,18.99,0,0
ethylene_methane.txt,validation,B0,0.995,16661.01,16679,17.99,0,0
ethylene_methane.txt,validation,B0,0.995,16887.01,16906,18.99,0,0
ethylene_methane.txt,validation,B0,0.995,19983.01,20003,19.99,0,0
ethylene_methane.txt,validation,B0,0.995,20399.01,20420,20.99,0,0
ethylene_methane.txt,validation,B0,0.995,21358.01,21379,20.99,0,0
ethylene_methane.txt,validation,B0,0.995,23624.01,23643,18.99,0,0
ethylene_methane.txt,validation,B0,0.995,23842.01,23861,18.99,0,0
ethylene_methane.txt,test,B0,0.995,26932.01,26953,20.99,0,0
ethylene_methane.txt,test,B0,0.995,27132.01,27152,19.99,0,0
ethylene_methane.txt,test,B0,0.995,27332.01,27352,19.99,0,0
ethylene_methane.txt,test,B0,0.995,28232.01,28253,20.99,0,0
ethylene_methane.txt,test,B0,0.995,28432.01,28452,19.99,0,0
ethylene_methane.txt,test,B0,0.995,28632.01,28652,19.99,0,0
ethylene_methane.txt,test,B0,0.995,28913.01,28934,20.99,0,0
ethylene_methane.txt,test,B0,0.995,29218.01,29239,20.99,0,0
ethylene_methane.txt,test,B0,0.995,29665.01,29687,21.99,0,0
ethylene_methane.txt,test,B0,0.995,30966.01,30987,20.99,0,0
ethylene_methane.txt,test,B0,0.995,31164.01,31184,19.99,0,0
ethylene_methane.txt,test,B0,0.995,31402.01,31423,20.99,0,0
ethylene_methane.txt,test,B0,0.995,36231.01,36253,21.99,0,0
ethylene_methane.txt,train,B1,0.99,9546.01,9565,18.99,0,1
ethylene_methane.txt,train,B1,0.99,9942.01,9970,27.99,0,0
ethylene_methane.txt,train,B1,0.99,10230.01,10254,23.99,0,0
ethylene_methane.txt,train,B1,0.99,10532.01,10555,22.99,0,0
ethylene_methane.txt,train,B1,0.99,10817.01,10842,24.99,0,0
ethylene_methane.txt,train,B1,0.99,11044.01,11067,22.99,0,0
ethylene_methane.txt,train,B1,0.99,11502.01,11530,27.99,0,0
ethylene_methane.txt,validation,B1,0.99,14134.01,14155,20.99,0,0
ethylene_methane.txt,validation,B1,0.99,14334.01,14356,21.99,0,0
ethylene_methane.txt,validation,B1,0.99,14534.01,14557,22.99,0,0
ethylene_methane.txt,validation,B1,0.99,15434.01,15456,21.99,0,0
ethylene_methane.txt,validation,B1,0.99,15634.01,15656,21.99,0,0
ethylene_methane.txt,validation,B1,0.99,15834.01,15857,22.99,0,0
ethylene_methane.txt,validation,B1,0.99,16141.01,16166,24.99,0,0
ethylene_methane.txt,validation,B1,0.99,16424.01,16449,24.99,0,0
ethylene_methane.txt,validation,B1,0.99,16661.01,16685,23.99,0,0
ethylene_methane.txt,validation,B1,0.99,16887.01,16914,26.99,0,0
ethylene_methane.txt,validation,B1,0.99,19983.01,20006,22.99,0,0
ethylene_methane.txt,validation,B1,0.99,20399.01,20429,29.99,0,0
ethylene_methane.txt,validation,B1,0.99,21358.01,21382,23.99,0,0
ethylene_methane.txt,validation,B1,0.99,23624.01,23646,21.99,0,0
ethylene_methane.txt,validation,B1,0.99,23842.01,23864,21.99,0,0
ethylene_methane.txt,test,B1,0.99,26932.01,26954,21.99,0,0
ethylene_methane.txt,test,B1,0.99,27132.01,27155,22.99,0,0
ethylene_methane.txt,test,B1,0.99,27332.01,27356,23.99,0,0
ethylene_methane.txt,test,B1,0.99,28232.01,28254,21.99,0,0
ethylene_methane.txt,test,B1,0.99,28432.01,28455,22.99,0,0
ethylene_methane.txt,test,B1,0.99,28632.01,28657,24.99,0,0
ethylene_methane.txt,test,B1,0.99,28913.01,28944,30.99,0,0
ethylene_methane.txt,test,B1,0.99,29218.01,29247,28.99,0,0
ethylene_methane.txt,test,B1,0.99,29665.01,29698,32.99,0,0
ethylene_methane.txt,test,B1,0.99,30966.01,30990,23.99,0,0
ethylene_methane.txt,test,B1,0.99,31164.01,31188,23.99,0,0
ethylene_methane.txt,test,B1,0.99,31402.01,31430,27.99,0,0
ethylene_methane.txt,test,B1,0.99,36231.01,36257,25.99,0,0
ethylene_methane.txt,train,B1,0.995,9546.01,9565,18.99,0,1
ethylene_methane.txt,train,B1,0.995,9942.01,9970,27.99,0,0
ethylene_methane.txt,train,B1,0.995,10230.01,10254,23.99,0,0
ethylene_methane.txt,train,B1,0.995,10532.01,10556,23.99,0,0
ethylene_methane.txt,train,B1,0.995,10817.01,10842,24.99,0,0
ethylene_methane.txt,train,B1,0.995,11044.01,11067,22.99,0,0
ethylene_methane.txt,train,B1,0.995,11502.01,11530,27.99,0,0
ethylene_methane.txt,validation,B1,0.995,14134.01,14155,20.99,0,0
ethylene_methane.txt,validation,B1,0.995,14334.01,14356,21.99,0,0
ethylene_methane.txt,validation,B1,0.995,14534.01,14557,22.99,0,0
ethylene_methane.txt,validation,B1,0.995,15434.01,15456,21.99,0,0
ethylene_methane.txt,validation,B1,0.995,15634.01,15657,22.99,0,0
ethylene_methane.txt,validation,B1,0.995,15834.01,15858,23.99,0,0
ethylene_methane.txt,validation,B1,0.995,16141.01,16166,24.99,0,0
ethylene_methane.txt,validation,B1,0.995,16424.01,16449,24.99,0,0
ethylene_methane.txt,validation,B1,0.995,16661.01,16685,23.99,0,0
ethylene_methane.txt,validation,B1,0.995,16887.01,16914,26.99,0,0
ethylene_methane.txt,validation,B1,0.995,19983.01,20006,22.99,0,0
ethylene_methane.txt,validation,B1,0.995,20399.01,20430,30.99,0,0
ethylene_methane.txt,validation,B1,0.995,21358.01,21382,23.99,0,0
ethylene_methane.txt,validation,B1,0.995,23624.01,23646,21.99,0,0
ethylene_methane.txt,validation,B1,0.995,23842.01,23864,21.99,0,0
ethylene_methane.txt,test,B1,0.995,26932.01,26954,21.99,0,0
ethylene_methane.txt,test,B1,0.995,27132.01,27155,22.99,0,0
ethylene_methane.txt,test,B1,0.995,27332.01,27357,24.99,0,0
ethylene_methane.txt,test,B1,0.995,28232.01,28254,21.99,0,0
ethylene_methane.txt,test,B1,0.995,28432.01,28455,22.99,0,0
ethylene_methane.txt,test,B1,0.995,28632.01,28657,24.99,0,0
ethylene_methane.txt,test,B1,0.995,28913.01,28945,31.99,0,0
ethylene_methane.txt,test,B1,0.995,29218.01,29247,28.99,0,0
ethylene_methane.txt,test,B1,0.995,29665.01,29699,33.99,0,0
ethylene_methane.txt,test,B1,0.995,30966.01,30990,23.99,0,0
ethylene_methane.txt,test,B1,0.995,31164.01,31188,23.99,0,0
ethylene_methane.txt,test,B1,0.995,31402.01,31431,28.99,0,0
ethylene_methane.txt,test,B1,0.995,36231.01,36258,26.99,0,0
