file,split,method,stimulus,qualified_onsets,new_alarms_60s,threshold
ethylene_CO.txt,train,B0,target_gas,5,4,32.40802296
ethylene_CO.txt,train,B0,ethylene_only,4,0,32.40802296
ethylene_CO.txt,train,B1,target_gas,5,5,2.69969319
ethylene_CO.txt,train,B1,ethylene_only,4,4,2.69969319
ethylene_CO.txt,validation,B0,target_gas,7,0,32.40802296
ethylene_CO.txt,validation,B0,ethylene_only,14,1,32.40802296
ethylene_CO.txt,validation,B1,target_gas,7,7,2.69969319
ethylene_CO.txt,validation,B1,ethylene_only,14,14,2.69969319
ethylene_CO.txt,test,B0,target_gas,14,0,32.40802296
ethylene_CO.txt,test,B0,ethylene_only,17,1,32.40802296
ethylene_CO.txt,test,B1,target_gas,14,14,2.69969319
ethylene_CO.txt,test,B1,ethylene_only,17,17,2.69969319
ethylene_methane.txt,train,B0,target_gas,7,7,3.98112461
ethylene_methane.txt,train,B0,ethylene_only,3,0,3.98112461
ethylene_methane.txt,train,B1,target_gas,7,7,2.49967699
ethylene_methane.txt,train,B1,ethylene_only,3,3,2.49967699
ethylene_methane.txt,validation,B0,target_gas,15,15,3.98112461
ethylene_methane.txt,validation,B0,ethylene_only,11,4,3.98112461
ethylene_methane.txt,validation,B1,target_gas,15,15,2.49967699
ethylene_methane.txt,validation,B1,ethylene_only,11,11,2.49967699
ethylene_methane.txt,test,B0,target_gas,13,13,3.98112461
ethylene_methane.txt,test,B0,ethylene_only,14,3,3.98112461
ethylene_methane.txt,test,B1,target_gas,13,13,2.49967699
ethylene_methane.txt,test,B1,ethylene_only,14,14,2.49967699
