file,split,stimulus,setpoint_onset_s,has_same_type_neighbor_200_plusminus_2s
ethylene_CO.txt,train,target_gas,3207.01,0
ethylene_CO.txt,train,target_gas,3489.01,0
ethylene_CO.txt,train,target_gas,3721.01,0
ethylene_CO.txt,train,target_gas,3937.01,0
ethylene_CO.txt,train,target_gas,11704.01,0
ethylene_CO.txt,train,ethylene_only,5989.01,0
ethylene_CO.txt,train,ethylene_only,6185.01,0
ethylene_CO.txt,train,ethylene_only,6376.01,0
ethylene_CO.txt,train,ethylene_only,11349.01,0
ethylene_CO.txt,validation,target_gas,14394.01,1
ethylene_CO.txt,validation,target_gas,14594.01,1
ethylene_CO.txt,validation,target_gas,14794.01,1
ethylene_CO.txt,validation,target_gas,15694.01,1
ethylene_CO.txt,validation,target_gas,15894.01,1
ethylene_CO.txt,validation,target_gas,16094.01,1
ethylene_CO.txt,validation,target_gas,16294.01,1
ethylene_CO.txt,validation,ethylene_only,12668.01,0
ethylene_CO.txt,validation,ethylene_only,13794.01,1
ethylene_CO.txt,validation,ethylene_only,13994.01,1
ethylene_CO.txt,validation,ethylene_only,14194.01,1
ethylene_CO.txt,validation,ethylene_only,15094.01,1
ethylene_CO.txt,validation,ethylene_only,15294.01,1
ethylene_CO.txt,validation,ethylene_only,15494.01,1
ethylene_CO.txt,validation,ethylene_only,17505.01,0
ethylene_CO.txt,validation,ethylene_only,17921.01,0
ethylene_CO.txt,validation,ethylene_only,18305.01,0
ethylene_CO.txt,validation,ethylene_only,18606.01,0
ethylene_CO.txt,validation,ethylene_only,18920.01,0
ethylene_CO.txt,validation,ethylene_only,20379.01,0
ethylene_CO.txt,validation,ethylene_only,20784.01,0
ethylene_CO.txt,test,target_gas,27169.01,1
ethylene_CO.txt,test,target_gas,27369.01,1
ethylene_CO.txt,test,target_gas,27569.01,1
ethylene_CO.txt,test,target_gas,28469.01,1
ethylene_CO.txt,test,target_gas,28669.01,1
ethylene_CO.txt,test,target_gas,28869.01,1
ethylene_CO.txt,test,target_gas,29163.01,0
ethylene_CO.txt,test,target_gas,29555.01,0
ethylene_CO.txt,test,target_gas,30061.01,0
ethylene_CO.txt,test,target_gas,30668.01,1
ethylene_CO.txt,test,target_gas,30866.01,1
ethylene_CO.txt,test,target_gas,31194.01,0
ethylene_CO.txt,test,target_gas,31565.01,0
ethylene_CO.txt,test,target_gas,31778.01,0
ethylene_CO.txt,test,ethylene_only,25687.01,0
ethylene_CO.txt,test,ethylene_only,25981.01,1
ethylene_CO.txt,test,ethylene_only,26183.01,1
ethylene_CO.txt,test,ethylene_only,26569.01,1
ethylene_CO.txt,test,ethylene_only,26769.01,1
ethylene_CO.txt,test,ethylene_only,26969.01,1
ethylene_CO.txt,test,ethylene_only,27869.01,1
ethylene_CO.txt,test,ethylene_only,28069.01,1
ethylene_CO.txt,test,ethylene_only,28269.01,1
ethylene_CO.txt,test,ethylene_only,32186.01,0
ethylene_CO.txt,test,ethylene_only,32488.01,0
ethylene_CO.txt,test,ethylene_only,32659.01,0
ethylene_CO.txt,test,ethylene_only,32889.01,0
ethylene_CO.txt,test,ethylene_only,33175.01,0
ethylene_CO.txt,test,ethylene_only,33379.01,0
ethylene_CO.txt,test,ethylene_only,36082.01,0
ethylene_CO.txt,test,ethylene_only,36317.01,0
ethylene_methane.txt,train,target_gas,9546.01,0
ethylene_methane.txt,train,target_gas,9942.01,0
ethylene_methane.txt,train,target_gas,10230.01,0
ethylene_methane.txt,train,target_gas,10532.01,0
ethylene_methane.txt,train,target_gas,10817.01,0
ethylene_methane.txt,train,target_gas,11044.01,0
ethylene_methane.txt,train,target_gas,11502.01,0
ethylene_methane.txt,train,ethylene_only,8802.01,0
ethylene_methane.txt,train,ethylene_only,9106.01,0
ethylene_methane.txt,train,ethylene_only,9309.01,0
ethylene_methane.txt,validation,target_gas,14134.01,1
ethylene_methane.txt,validation,target_gas,14334.01,1
ethylene_methane.txt,validation,target_gas,14534.01,1
ethylene_methane.txt,validation,target_gas,15434.01,1
ethylene_methane.txt,validation,target_gas,15634.01,1
ethylene_methane.txt,validation,target_gas,15834.01,1
ethylene_methane.txt,validation,target_gas,16141.01,0
ethylene_methane.txt,validation,target_gas,16424.01,0
ethylene_methane.txt,validation,target_gas,16661.01,0
ethylene_methane.txt,validation,target_gas,16887.01,0
ethylene_methane.txt,validation,target_gas,19983.01,0
ethylene_methane.txt,validation,target_gas,20399.01,0
ethylene_methane.txt,validation,target_gas,21358.01,0
ethylene_methane.txt,validation,target_gas,23624.01,0
ethylene_methane.txt,validation,target_gas,23842.01,0
ethylene_methane.txt,validation,ethylene_only,12909.01,0
ethylene_methane.txt,validation,ethylene_only,13534.01,1
ethylene_methane.txt,validation,ethylene_only,13734.01,1
ethylene_methane.txt,validation,ethylene_only,13934.01,1
ethylene_methane.txt,validation,ethylene_only,14834.01,1
ethylene_methane.txt,validation,ethylene_only,15034.01,1
ethylene_methane.txt,validation,ethylene_only,15234.01,1
ethylene_methane.txt,validation,ethylene_only,18028.01,0
ethylene_methane.txt,validation,ethylene_only,20818.01,0
ethylene_methane.txt,validation,ethylene_only,21109.01,0
ethylene_methane.txt,validation,ethylene_only,22550.01,0
ethylene_methane.txt,test,target_gas,26932.01,1
ethylene_methane.txt,test,target_gas,27132.01,1
ethylene_methane.txt,test,target_gas,27332.01,1
ethylene_methane.txt,test,target_gas,28232.01,1
ethylene_methane.txt,test,target_gas,28432.01,1
ethylene_methane.txt,test,target_gas,28632.01,1
ethylene_methane.txt,test,target_gas,28913.01,0
ethylene_methane.txt,test,target_gas,29218.01,0
ethylene_methane.txt,test,target_gas,29665.01,0
ethylene_methane.txt,test,target_gas,30966.01,1
ethylene_methane.txt,test,target_gas,31164.01,1
ethylene_methane.txt,test,target_gas,31402.01,0
ethylene_methane.txt,test,target_gas,36231.01,0
ethylene_methane.txt,test,ethylene_only,26332.01,1
ethylene_methane.txt,test,ethylene_only,26532.01,1
ethylene_methane.txt,test,ethylene_only,26732.01,1
ethylene_methane.txt,test,ethylene_only,27632.01,1
ethylene_methane.txt,test,ethylene_only,27832.01,1
ethylene_methane.txt,test,ethylene_only,28032.01,1
ethylene_methane.txt,test,ethylene_only,32444.01,0
ethylene_methane.txt,test,ethylene_only,32637.01,0
ethylene_methane.txt,test,ethylene_only,33025.01,0
ethylene_methane.txt,test,ethylene_only,33331.01,1
ethylene_methane.txt,test,ethylene_only,33531.01,1
ethylene_methane.txt,test,ethylene_only,33994.01,0
ethylene_methane.txt,test,ethylene_only,35691.01,0
ethylene_methane.txt,test,ethylene_only,38326.01,0
