id,date,split,class,method,completed_s,origin_bin_s,score_at_trigger,scope
1,07-05-15,train,wine,median_8,101,98,22.429420887743014,stimulus_response
1,07-05-15,train,wine,median_8,176,173,22.201652595435775,stimulus_response
1,07-05-15,train,wine,median_8,299,296,24.135351916063307,stimulus_response
1,07-05-15,train,wine,median_8,423,420,25.947051619674138,other
1,07-05-15,train,wine,median_8,617,614,22.60218633510968,other
1,07-05-15,train,wine,median_8,705,702,27.58409455717568,other
1,07-05-15,train,wine,median_8,845,842,23.342879005681525,other
1,07-05-15,train,wine,median_8,957,954,24.50589050864236,other
1,07-05-15,train,wine,median_8,1501,1498,23.401517220115103,other
1,07-05-15,train,wine,median_8,1592,1589,24.042620602268414,other
1,07-05-15,train,wine,median_8,1733,1730,24.43389933417525,other
1,07-05-15,train,wine,median_8,1798,1795,23.06283799704549,other
1,07-05-15,train,wine,median_8,1869,1866,23.550551215977773,other
1,07-05-15,train,wine,median_8,1921,1918,22.807023106009325,other
1,07-05-15,train,wine,median_8,2064,2061,22.18453054966917,other
1,07-05-15,train,wine,median_8,2122,2119,23.16440810570461,other
1,07-05-15,train,wine,median_8,2240,2237,22.172452982979408,other
1,07-05-15,train,wine,R1,683,680,23.93137655034338,other
1,07-05-15,train,wine,R1,705,702,26.01011263063891,other
2,07-06-15,validation,wine,median_8,491,488,22.452362740759348,other
2,07-06-15,validation,wine,median_8,545,542,25.96243490495621,other
2,07-06-15,validation,wine,median_8,592,589,25.134625166624176,other
2,07-06-15,validation,wine,median_8,646,643,33.340949690909895,other
2,07-06-15,validation,wine,median_8,772,769,31.913083202232034,other
2,07-06-15,validation,wine,median_8,894,891,28.626041489824647,other
2,07-06-15,validation,wine,median_8,898,895,28.457218419963322,other
2,07-06-15,validation,wine,median_8,1019,1016,25.18345036912389,other
2,07-06-15,validation,wine,median_8,1131,1128,23.65247481347253,other
2,07-06-15,validation,wine,median_8,1155,1152,26.609528787584154,other
2,07-06-15,validation,wine,median_8,1296,1293,25.22423650694435,other
2,07-06-15,validation,wine,median_8,1433,1430,22.53293968690545,other
2,07-06-15,validation,wine,median_8,1442,1439,23.615970136672658,other
2,07-06-15,validation,wine,median_8,1464,1461,25.178697756656398,other
2,07-06-15,validation,wine,median_8,1525,1522,25.997885197356435,other
2,07-06-15,validation,wine,median_8,1655,1652,26.472858562555466,other
2,07-06-15,validation,wine,median_8,1784,1781,26.729071794576903,other
2,07-06-15,validation,wine,median_8,1928,1925,28.41687406453118,other
2,07-06-15,validation,wine,median_8,2047,2044,23.56332093213433,other
