id,date,split,class,method,status,primary_background_day,baseline_valid_bins,post5_valid_bins,pre_negative_valid_bins,background_observed_bins,detected_within_5min,first_detection_s,pre_event_count,seeded_event_count,background_g2_count
0,07-04-15,train,banana,median_8,eligible,0,757,296,2611,,0,,0,0,
0,07-04-15,train,banana,R1,eligible,0,757,296,2611,,0,,0,0,
1,07-05-15,train,wine,median_8,eligible,0,892,295,2616,,1,101,0,0,
1,07-05-15,train,wine,R1,eligible,0,892,295,2616,,0,,0,0,
2,07-06-15,validation,wine,median_8,eligible,0,892,298,2617,,0,,0,0,
2,07-06-15,validation,wine,R1,eligible,0,892,298,2617,,0,,0,0,
3,07-09-15,train,banana,median_8,eligible,0,894,298,2616,,0,,0,0,
3,07-09-15,train,banana,R1,eligible,0,894,298,2616,,0,,0,0,
4,07-09-15,train,wine,median_8,unknown_calibration,0,0,297,5,,,,0,0,
4,07-09-15,train,wine,R1,unknown_calibration,0,0,297,5,,,,0,0,
5,07-10-15,train,banana,median_8,eligible,0,892,242,2215,,0,,0,0,
5,07-10-15,train,banana,R1,eligible,0,892,242,2215,,0,,0,0,
6,07-11-15,train,wine,median_8,eligible,0,892,298,2620,,0,,0,0,
6,07-11-15,train,wine,R1,eligible,0,892,298,2620,,0,,0,0,
7,07-12-15,validation,banana,median_8,eligible,0,894,296,2483,,0,,0,0,
7,07-12-15,validation,banana,R1,eligible,0,894,296,2483,,0,,0,0,
8,07-12-15,validation,wine,median_8,eligible,0,894,298,2624,,0,,0,0,
8,07-12-15,validation,wine,R1,eligible,0,894,298,2624,,0,,0,0,
9,07-15-15,validation,banana,median_8,eligible,0,891,298,2615,,0,,0,0,
9,07-15-15,validation,banana,R1,eligible,0,891,298,2615,,0,,0,0,
10,07-15-15,validation,banana,median_8,eligible,0,891,298,2614,,0,,0,0,
10,07-15-15,validation,banana,R1,eligible,0,891,298,2614,,0,,0,0,
11,07-17-15,train,banana,median_8,unknown_calibration,0,277,0,1914,,,,0,0,
11,07-17-15,train,banana,R1,unknown_calibration,0,277,0,1914,,,,0,0,
12,07-19-15,test,wine,median_8,eligible,0,891,296,2615,,0,,0,0,
12,07-19-15,test,wine,R1,eligible,0,891,296,2615,,0,,0,0,
13,07-21-15,validation,banana,median_8,unknown_calibration,0,95,298,2218,,,,0,0,
13,07-21-15,validation,banana,R1,unknown_calibration,0,95,298,2218,,,,0,0,
14,07-21-15,validation,wine,median_8,eligible,0,889,298,2613,,0,,0,0,
14,07-21-15,validation,wine,R1,eligible,0,889,298,2613,,0,,0,0,
15,07-22-15,validation,banana,median_8,eligible,0,893,298,2613,,0,,0,0,
15,07-22-15,validation,banana,R1,eligible,0,893,298,2613,,0,,0,0,
16,07-22-15,validation,banana,median_8,eligible,0,894,299,2616,,0,,0,0,
16,07-22-15,validation,banana,R1,eligible,0,894,299,2616,,0,,0,0,
17,07-23-15,test,banana,median_8,eligible,0,893,296,2615,,0,,0,0,
17,07-23-15,test,banana,R1,eligible,0,893,296,2615,,0,,0,0,
18,07-23-15,test,banana,median_8,eligible,0,893,297,2615,,0,,0,0,
18,07-23-15,test,banana,R1,eligible,0,893,297,2615,,0,,0,0,
19,07-23-15,test,wine,median_8,eligible,0,892,298,2616,,0,,0,0,
19,07-23-15,test,wine,R1,eligible,0,892,298,2616,,0,,0,0,
20,07-24-15,train,wine,median_8,unknown_post_coverage,0,751,0,1145,,,,0,0,
20,07-24-15,train,wine,R1,unknown_post_coverage,0,751,0,1145,,,,0,0,
21,07-25-15,train,banana,median_8,eligible,0,895,298,2609,,0,,0,0,
21,07-25-15,train,banana,R1,eligible,0,895,298,2609,,0,,0,0,
22,07-26-15,test,banana,median_8,eligible,0,886,297,2617,,0,,0,0,
22,07-26-15,test,banana,R1,eligible,0,886,297,2617,,0,,0,0,
23,07-27-15,test,wine,median_8,unknown_post_coverage,0,888,33,2613,,,,0,0,
23,07-27-15,test,wine,R1,unknown_post_coverage,0,888,33,2613,,,,0,0,
24,07-28-15,test,wine,median_8,unknown_calibration,0,0,163,1862,,,,0,0,
24,07-28-15,test,wine,R1,unknown_calibration,0,0,163,1862,,,,0,0,
25,07-29-15,validation,wine,median_8,eligible,0,889,298,2614,,0,,0,0,
25,07-29-15,validation,wine,R1,eligible,0,889,298,2614,,0,,0,0,
26,07-29-15,validation,wine,median_8,eligible,0,893,298,2618,,0,,0,0,
26,07-29-15,validation,wine,R1,eligible,0,893,298,2618,,0,,0,0,
27,07-31-15,train,banana,median_8,eligible,0,893,298,2618,,0,,0,0,
27,07-31-15,train,banana,R1,eligible,0,893,298,2618,,0,,0,0,
28,08-02-15,test,wine,median_8,eligible,0,893,298,2616,,0,,0,0,
28,08-02-15,test,wine,R1,eligible,0,893,298,2616,,0,,0,0,
29,08-03-15,train,wine,median_8,eligible,0,888,297,2621,,0,,0,0,
29,08-03-15,train,wine,R1,eligible,0,888,297,2621,,0,,0,0,
30,08-04-15,train,banana,median_8,eligible,0,814,298,2483,,0,,0,0,
30,08-04-15,train,banana,R1,eligible,0,814,298,2483,,0,,0,0,
31,08-06-15,validation,wine,median_8,eligible,0,892,297,2617,,0,,0,0,
31,08-06-15,validation,wine,R1,eligible,0,892,297,2617,,0,,0,0,
32,08-09-15,train,wine,median_8,eligible,0,892,297,2616,,0,,0,0,
32,08-09-15,train,wine,R1,eligible,0,892,297,2616,,0,,0,0,
33,08-10-15,train,banana,median_8,eligible,0,893,294,2619,,0,,0,0,
33,08-10-15,train,banana,R1,eligible,0,893,294,2619,,0,,0,0,
34,08-11-15,train,banana,median_8,eligible,0,893,298,2618,,0,,0,0,
34,08-11-15,train,banana,R1,eligible,0,893,298,2618,,0,,0,0,
35,08-13-15,train,banana,median_8,eligible,0,893,298,2620,,0,,0,0,
35,08-13-15,train,banana,R1,eligible,0,893,298,2620,,0,,0,0,
36,08-14-15,train,wine,median_8,eligible,0,893,298,2617,,0,,0,0,
36,08-14-15,train,wine,R1,eligible,0,893,298,2617,,0,,0,0,
37,08-16-15,train,wine,median_8,unknown_post_coverage,0,889,27,2614,,,,0,0,
37,08-16-15,train,wine,R1,unknown_post_coverage,0,889,27,2614,,,,0,0,
38,08-18-15,validation,wine,median_8,eligible,0,893,297,2617,,0,,0,0,
38,08-18-15,validation,wine,R1,eligible,0,893,297,2617,,0,,0,0,
39,08-19-15,train,banana,median_8,eligible,0,893,298,2612,,0,,0,0,
39,08-19-15,train,banana,R1,eligible,0,893,298,2612,,0,,0,0,
40,08-20-15,train,banana,median_8,eligible,0,890,295,2611,,0,,0,0,
40,08-20-15,train,banana,R1,eligible,0,890,295,2611,,0,,0,0,
41,08-20-15,train,wine,median_8,eligible,0,896,297,2614,,0,,0,0,
41,08-20-15,train,wine,R1,eligible,0,896,297,2614,,0,,0,0,
42,08-21-15,train,wine,median_8,eligible,0,890,298,2477,,0,,0,0,
42,08-21-15,train,wine,R1,eligible,0,890,298,2477,,0,,0,0,
43,08-21-15,train,banana,median_8,eligible,0,895,298,2620,,0,,0,0,
43,08-21-15,train,banana,R1,eligible,0,895,298,2620,,0,,0,0,
44,08-22-15,train,wine,median_8,eligible,0,758,297,2611,,0,,0,0,
44,08-22-15,train,wine,R1,eligible,0,758,297,2611,,0,,0,0,
45,08-25-15,test,wine,median_8,eligible,0,892,299,2616,,0,,0,0,
45,08-25-15,test,wine,R1,eligible,0,892,299,2616,,0,,0,0,
46,08-25-15,test,wine,median_8,eligible,0,893,295,2608,,0,,0,0,
46,08-25-15,test,wine,R1,eligible,0,893,295,2608,,0,,0,0,
47,08-26-15,test,banana,median_8,eligible,0,893,298,2615,,0,,0,0,
47,08-26-15,test,banana,R1,eligible,0,893,298,2615,,0,,0,0,
48,08-26-15,test,banana,median_8,eligible,0,893,297,2616,,0,,0,0,
48,08-26-15,test,banana,R1,eligible,0,893,297,2616,,0,,0,0,
49,08-26-15,test,wine,median_8,eligible,0,890,297,2614,,0,,0,0,
49,08-26-15,test,wine,R1,eligible,0,890,297,2614,,1,121,0,0,
50,08-27-15,train,wine,median_8,eligible,0,891,295,2613,,0,,0,0,
50,08-27-15,train,wine,R1,eligible,0,891,295,2613,,0,,0,0,
51,08-27-15,train,banana,median_8,eligible,0,891,297,2608,,0,,0,0,
51,08-27-15,train,banana,R1,eligible,0,891,297,2608,,0,,0,0,
52,08-28-15,validation,banana,median_8,eligible,0,889,298,2617,,0,,0,0,
52,08-28-15,validation,banana,R1,eligible,0,889,298,2617,,0,,0,0,
53,08-29-15,train,wine,median_8,eligible,0,890,298,2617,,0,,0,0,
53,08-29-15,train,wine,R1,eligible,0,890,298,2617,,0,,0,0,
54,08-29-15,train,wine,median_8,eligible,0,891,298,2614,,0,,0,0,
54,08-29-15,train,wine,R1,eligible,0,891,298,2614,,0,,0,0,
55,08-30-15,train,banana,median_8,eligible,0,888,295,2607,,0,,0,0,
55,08-30-15,train,banana,R1,eligible,0,888,295,2607,,0,,0,0,
56,08-30-15,train,wine,median_8,eligible,0,894,298,2614,,0,,0,0,
56,08-30-15,train,wine,R1,eligible,0,894,298,2614,,0,,0,0,
57,08-30-15,train,banana,median_8,eligible,0,895,298,2617,,0,,0,0,
57,08-30-15,train,banana,R1,eligible,0,895,298,2617,,0,,0,0,
58,08-30-15,train,wine,median_8,eligible,0,890,297,2604,,0,,0,0,
58,08-30-15,train,wine,R1,eligible,0,890,297,2604,,0,,0,0,
59,08-30-15,train,banana,median_8,eligible,0,892,298,2616,,0,,0,0,
59,08-30-15,train,banana,R1,eligible,0,892,298,2616,,0,,0,0,
60,08-31-15,train,banana,median_8,eligible,0,894,298,2617,,0,,0,0,
60,08-31-15,train,banana,R1,eligible,0,894,298,2617,,0,,0,0,
61,08-31-15,train,wine,median_8,eligible,0,892,298,2482,,0,,0,0,
61,08-31-15,train,wine,R1,eligible,0,892,298,2482,,0,,0,0,
62,08-31-15,train,banana,median_8,eligible,0,893,296,2619,,0,,0,0,
62,08-31-15,train,banana,R1,eligible,0,893,296,2619,,0,,0,0,
63,09-01-15,train,banana,median_8,eligible,0,891,297,2613,,0,,0,0,
63,09-01-15,train,banana,R1,eligible,0,891,297,2613,,0,,0,0,
64,09-02-15,test,wine,median_8,eligible,0,891,298,2614,,0,,0,0,
64,09-02-15,test,wine,R1,eligible,0,891,298,2614,,0,,0,0,
65,09-03-15,train,banana,median_8,eligible,0,889,298,2618,,0,,3,0,
65,09-03-15,train,banana,R1,eligible,0,889,298,2618,,0,,5,0,
66,09-07-15,test,wine,median_8,eligible,0,894,295,2618,,0,,0,0,
66,09-07-15,test,wine,R1,eligible,0,894,295,2618,,0,,0,0,
67,09-08-15,train,wine,median_8,eligible,0,892,295,2610,,0,,0,0,
67,09-08-15,train,wine,R1,eligible,0,892,295,2610,,1,175,0,0,
68,09-09-15,validation,wine,median_8,eligible,0,892,298,2614,,0,,0,0,
68,09-09-15,validation,wine,R1,eligible,0,892,298,2614,,0,,0,0,
69,08-03-15,train,background,median_8,eligible,0,893,298,2621,,,,0,0,
69,08-03-15,train,background,R1,eligible,0,893,298,2621,,,,0,0,
70,08-04-15,train,background,median_8,eligible,0,889,282,2561,,,,0,0,
70,08-04-15,train,background,R1,eligible,0,889,282,2561,,,,0,0,
71,08-05-15,test,background,median_8,eligible,1,891,297,2617,7777,,,0,0,0
71,08-05-15,test,background,R1,eligible,1,891,297,2617,7777,,,0,0,0
72,08-06-15,validation,background,median_8,eligible,0,890,298,2612,,,,0,0,
72,08-06-15,validation,background,R1,eligible,0,890,298,2612,,,,0,0,
73,08-07-15,train,background,median_8,eligible,1,889,298,2621,8409,,,0,0,0
73,08-07-15,train,background,R1,eligible,1,889,298,2621,8409,,,0,0,0
74,08-10-15,train,background,median_8,eligible,0,891,296,2612,,,,0,0,
74,08-10-15,train,background,R1,eligible,0,891,296,2612,,,,0,0,
75,08-11-15,train,background,median_8,eligible,0,892,163,2478,,,,0,0,
75,08-11-15,train,background,R1,eligible,0,892,163,2478,,,,0,0,
76,08-12-15,test,background,median_8,eligible,1,887,254,2615,2929,,,0,0,0
76,08-12-15,test,background,R1,eligible,1,887,254,2615,2929,,,0,0,0
77,08-13-15,train,background,median_8,eligible,0,889,295,2607,,,,0,0,
77,08-13-15,train,background,R1,eligible,0,889,295,2607,,,,0,0,
78,08-14-15,train,background,median_8,eligible,0,888,163,2608,,,,0,0,
78,08-14-15,train,background,R1,eligible,0,888,163,2608,,,,0,0,
79,08-17-15,train,background,median_8,eligible,1,891,295,2620,8618,,,0,0,0
79,08-17-15,train,background,R1,eligible,1,891,295,2620,8618,,,0,0,0
80,08-18-15,validation,background,median_8,eligible,0,891,296,2610,,,,0,0,
80,08-18-15,validation,background,R1,eligible,0,891,296,2610,,,,0,0,
81,08-19-15,train,background,median_8,eligible,0,885,297,2611,,,,0,0,
81,08-19-15,train,background,R1,eligible,0,885,297,2611,,,,0,0,
82,08-20-15,train,background,median_8,eligible,0,891,298,2618,,,,0,0,
82,08-20-15,train,background,R1,eligible,0,891,298,2618,,,,0,0,
83,08-21-15,train,background,median_8,eligible,0,893,295,2607,,,,0,0,
83,08-21-15,train,background,R1,eligible,0,893,295,2607,,,,0,0,
84,08-25-15,test,background,median_8,eligible,0,892,297,2612,,,,0,0,
84,08-25-15,test,background,R1,eligible,0,892,297,2612,,,,0,0,
85,08-26-15,test,background,median_8,eligible,0,892,295,2617,,,,0,0,
85,08-26-15,test,background,R1,eligible,0,892,295,2617,,,,0,0,
86,08-27-15,train,background,median_8,eligible,0,888,295,2616,,,,0,0,
86,08-27-15,train,background,R1,eligible,0,888,295,2616,,,,0,0,
87,08-28-15,validation,background,median_8,eligible,0,895,298,2619,,,,0,0,
87,08-28-15,validation,background,R1,eligible,0,895,298,2619,,,,0,0,
88,09-02-15,test,background,median_8,eligible,0,893,297,2617,,,,0,0,
88,09-02-15,test,background,R1,eligible,0,893,297,2617,,,,0,0,
89,09-03-15,train,background,median_8,eligible,0,894,298,2616,,,,0,0,
89,09-03-15,train,background,R1,eligible,0,894,298,2616,,,,0,0,
90,09-04-15,validation,background,median_8,eligible,1,891,298,2613,8377,,,0,0,0
90,09-04-15,validation,background,R1,eligible,1,891,298,2613,8377,,,0,0,0
91,09-07-15,test,background,median_8,eligible,0,891,297,2611,,,,0,0,
91,09-07-15,test,background,R1,eligible,0,891,297,2611,,,,0,0,
92,09-08-15,train,background,median_8,eligible,0,891,297,2616,,,,0,0,
92,09-08-15,train,background,R1,eligible,0,891,297,2616,,,,0,0,
93,09-09-15,validation,background,median_8,eligible,0,893,297,2615,,,,0,0,
93,09-09-15,validation,background,R1,eligible,0,893,297,2615,,,,0,0,
94,09-10-15,train,background,median_8,eligible,1,890,298,2621,9051,,,0,0,0
94,09-10-15,train,background,R1,eligible,1,890,298,2621,9051,,,0,0,0
96,09-14-15,train,background,median_8,eligible,1,887,297,2616,9443,,,0,0,0
96,09-14-15,train,background,R1,eligible,1,887,297,2616,9443,,,0,0,0
97,09-15-15,validation,background,median_8,eligible,1,893,299,2620,8822,,,0,0,0
97,09-15-15,validation,background,R1,eligible,1,893,299,2620,8822,,,0,0,0
98,09-16-15,train,background,median_8,eligible,1,894,299,2624,8789,,,0,0,0
98,09-16-15,train,background,R1,eligible,1,894,299,2624,8789,,,0,0,0
99,09-17-15,train,background,median_8,eligible,1,891,297,2614,8650,,,0,0,0
99,09-17-15,train,background,R1,eligible,1,891,297,2614,8650,,,0,0,0
