day,rows,segments,co_levels,level_repetitions_min,level_repetitions_max,co_range_ppm,humidity_segment_min_pct,humidity_segment_max_pct,co_humidity_segment_pearson,zero_co_segments,zero_co_r1_low_median_mohm,r1_phase_difference_abs_median_mohm,r8_phase_difference_abs_median_mohm,heater_high_fraction_mean,backward_time_steps,heater_outside_0_1_v
20160930_203718,295719,100,10,10,10,0..20,17.5,71.48,-0.06690508895040573,10,3.93285,3.5339,32.564800000000005,0.23221866204217606,0,0
20161001_231809,295516,100,10,10,10,0..20,17.51,72.45,-0.06713563862671562,10,3.9568,3.69275,33.90685,0.21688773345149742,0,0
20161003_085624,295700,100,10,10,10,0..20,16.43,72.51,-0.06706709374401917,10,3.89525,3.887925,33.254000000000005,0.22716015157838507,1,0
20161004_104124,295653,100,10,10,10,0..20,17.39,70.38,-0.06022152701324105,10,8.451450000000001,9.785250000000001,39.415099999999995,0.23036207450073953,0,0
20161005_140846,295534,100,10,10,10,0..20,16.38,71.9,-0.06439284100642237,10,5.24925,5.6369,35.99765,0.2332633627001823,0,0
20161006_182224,295499,100,10,10,10,0..20,17.47,74.18,-0.058535062458595605,10,6.261425,6.1507249999999996,35.3507,0.21680940780796815,0,0
20161007_210049,295700,100,10,10,10,0..20,16.94,72.39,-0.06445646497991935,10,4.4030000000000005,4.04195,34.054874999999996,0.21659640201729857,0,0
20161008_234508,295524,100,10,10,10,0..20,16.39,71.96,-0.06028199300108803,10,4.6297250000000005,4.385574999999999,34.0407,0.22319179066547687,0,0
20161010_095046,295747,100,10,10,10,0..20,16.37,71.36,-0.06295321611078884,10,4.98465,5.197,35.599175,0.2307840465668197,0,0
20161011_113032,295391,100,10,10,10,0..20,16.36,71.29,-0.06647187982729812,10,5.5099,5.446149999999999,36.4336,0.23108677303992478,0,0
20161013_143355,295679,100,10,10,10,0..20,21.89,74.47,-0.02053174160258513,10,2.7384999999999997,2.36335,27.7972,0.2172726251041671,0,0
20161014_184659,295881,100,10,10,10,0..20,18.54,71.61,-0.05242243412045062,10,5.617050000000001,5.5615000000000006,37.098974999999996,0.21661145703529666,0,0
20161016_053656,295617,100,10,10,10,0..20,17.47,71.66,-0.11450078002249832,10,4.7001,5.5203500000000005,37.0145,0.21667902225195232,0,0
