day,segment,source_kind,last_300_s_samples,co_reference_ppm,co_min_ppm,co_max_ppm,humidity_pct,temperature_c,heater_high_fraction,heater_high_n,heater_low_n,r1_high_mohm,r1_low_mohm,r8_high_mohm,r8_low_mohm
20160930_203718,0,UCI487_laboratory,981,20.0,15.56,20.0,42.49,26.54,0.23343527013251783,229,752,0.0882,1.28255,0.097,14.8609
20160930_203718,1,UCI487_laboratory,978,15.56,15.56,20.0,40.91,26.54,0.2331288343558282,228,750,0.0883,1.8568,0.0981,19.8616
20160930_203718,2,UCI487_laboratory,980,20.0,4.44,20.0,59.83,26.62,0.2316326530612245,227,753,0.0882,1.7466,0.0973,16.5136
20160930_203718,3,UCI487_laboratory,981,4.44,4.44,15.56,34.0,26.54,0.23547400611620795,231,750,0.0879,2.9415,0.1038,37.5627
20160930_203718,4,UCI487_laboratory,981,15.56,6.67,15.56,52.81,26.58,0.2324159021406728,228,753,0.08825,2.7237,0.0985,20.788
20160930_203718,5,UCI487_laboratory,976,6.67,2.22,6.67,32.39,26.54,0.2336065573770492,228,748,0.0881,4.147550000000001,0.1023,34.9816
20160930_203718,6,UCI487_laboratory,977,2.22,2.22,11.11,50.7642,26.58,0.23643807574206754,231,746,0.0879,5.691050000000001,0.1066,43.7627
20160930_203718,7,UCI487_laboratory,970,11.11,2.22,11.11,61.32,26.62,0.2309278350515464,224,746,0.0882,3.11685,0.1003,27.7504
20160930_203718,8,UCI487_laboratory,973,2.22,2.22,13.33,63.29,26.62,0.23329907502569372,227,746,0.0875,2.49825,0.1067,41.4854
20160930_203718,9,UCI487_laboratory,972,13.33,4.44,13.33,52.81,26.58,0.23148148148148148,225,747,0.0878,1.6573,0.0991,23.253
20160930_203718,10,UCI487_laboratory,973,4.44,4.44,6.67,27.49,26.46,0.23227132579650564,226,747,0.0878,2.6904,0.1046,41.4854
20160930_203718,11,UCI487_laboratory,971,6.67,0.0,6.67,53.3,26.5,0.23377960865087538,227,744,0.088,3.5887000000000002,0.1028,35.773250000000004
20160930_203718,12,UCI487_laboratory,974,0.0,0.0,15.56,52.29,26.5,0.23305954825462014,227,747,0.0876,3.6547,0.1115,51.0146
20160930_203718,13,UCI487_laboratory,974,15.56,8.89,15.56,48.19,26.46,0.23408624229979466,228,746,0.08835000000000001,2.3666,0.0987,21.1332
20160930_203718,14,UCI487_laboratory,971,8.89,8.89,15.56,39.31,26.42,0.23069001029866118,224,747,0.0883,3.3866,0.1013,32.3335
20160930_203718,15,UCI487_laboratory,980,15.56,13.33,15.56,49.21,26.42,0.23265306122448978,228,752,0.08865,3.1852,0.0987,21.5445
20160930_203718,16,UCI487_laboratory,975,13.33,13.33,15.56,33.99,26.38,0.23282051282051283,227,748,0.0887,4.1577,0.0996,25.431150000000002
20160930_203718,17,UCI487_laboratory,973,15.56,8.89,15.56,58.32,26.46,0.23535457348406988,229,744,0.0887,4.1274999999999995,0.0991,23.71495
20160930_203718,18,UCI487_laboratory,975,8.89,8.89,11.11,33.45,26.38,0.23384615384615384,228,747,0.0883,4.7176,0.1017,33.8494
20160930_203718,19,UCI487_laboratory,977,11.11,0.0,11.11,48.69,26.38,0.23029682702149437,225,752,0.0883,5.21645,0.1006,29.47365
20160930_203718,20,UCI487_laboratory,982,0.0,0.0,15.56,52.78,26.38,0.23319755600814665,229,753,0.0879,5.3552,0.1124,51.9752
20160930_203718,21,UCI487_laboratory,974,15.56,15.56,17.78,42.47,26.34,0.23203285420944558,226,748,0.08835000000000001,3.33765,0.099,22.1794
20160930_203718,22,UCI487_laboratory,974,17.78,11.11,17.78,48.69,26.34,0.23203285420944558,226,748,0.08835000000000001,3.2648,0.09845000000000001,19.83805
20160930_203718,23,UCI487_laboratory,980,11.11,0.0,11.11,67.15,26.38,0.23265306122448978,228,752,0.0879,2.7415000000000003,0.10025,26.8797
20160930_203718,24,UCI487_laboratory,976,0.0,0.0,11.11,55.31,26.34,0.23155737704918034,226,750,0.0873,2.5906,0.1124,52.3446
20160930_203718,25,UCI487_laboratory,971,11.11,11.11,13.33,58.8,26.34,0.23171987641606592,225,746,0.0878,1.7995,0.1008,29.363100000000003
20160930_203718,26,UCI487_laboratory,971,13.33,13.33,15.56,28.57,26.1991,0.22966014418125644,223,748,0.088,2.0405499999999996,0.0998,26.3334
20160930_203718,27,UCI487_laboratory,982,15.56,15.56,17.78,44.02,26.22,0.23319755600814665,229,753,0.0883,3.0175,0.0991,22.3084
20160930_203718,28,UCI487_laboratory,979,17.78,2.22,17.78,66.65,26.3,0.23391215526046988,229,750,0.088,2.2588999999999997,0.098,18.5531
20160930_203718,29,UCI487_laboratory,971,2.22,2.22,2.22,39.3,26.22,0.23274974253347064,226,745,0.0877,3.1327,0.108,50.0315
20160930_203718,30,UCI487_laboratory,971,2.22,2.22,8.89,49.7,26.22,0.23583934088568487,229,742,0.088,3.79515,0.1081,49.7495
20160930_203718,31,UCI487_laboratory,971,8.89,8.89,8.89,36.11,26.18,0.23069001029866118,224,747,0.0883,3.8854,0.1021,35.3657
20160930_203718,32,UCI487_laboratory,978,8.89,2.7826,8.89,66.64,26.26,0.2331288343558282,228,750,0.088,3.49435,0.1017,31.3033
20160930_203718,33,UCI487_laboratory,970,0.0,0.0,9.7257,28.56,26.14,0.23195876288659795,225,745,0.0875,4.211,0.1138,60.1664
20160930_203718,34,UCI487_laboratory,977,17.78,7.6549,17.78,30.73,26.14,0.2323439099283521,227,750,0.0887,5.43675,0.0987,20.2607
20160930_203718,35,UCI487_laboratory,979,4.44,4.44,8.5287,44.02,26.22,0.23186925434116445,227,752,0.0886,11.199950000000001,0.1056,45.2505
20160930_203718,36,UCI487_laboratory,975,11.11,11.11,11.11,50.73,26.26,0.23282051282051283,227,748,0.0889,6.6381,0.1012,31.5548
20160930_203718,37,UCI487_laboratory,983,11.11,11.11,15.072,24.18,26.18,0.23296032553407936,229,754,0.0888,9.0317,0.1016,31.6705
20160930_203718,38,UCI487_laboratory,970,17.78,9.149,17.78,63.72,26.26,0.2329896907216495,226,744,0.089,5.81625,0.09864999999999999,19.8145
20160930_203718,39,UCI487_laboratory,972,4.44,4.44,9.534,54.78,26.22,0.23148148148148148,225,747,0.0883,4.3462,0.106,45.7687
20160930_203718,40,UCI487_laboratory,982,13.33,13.33,15.5817,59.28,26.22,0.23319755600814665,229,753,0.088,2.5419,0.1006,27.3606
20160930_203718,41,UCI487_laboratory,981,17.78,13.7513,17.78,27.47,26.14,0.23343527013251783,229,752,0.0883,2.6027,0.0991,20.2607
20160930_203718,42,UCI487_laboratory,975,11.11,4.887,11.11,20.85,26.1,0.2317948717948718,226,749,0.0888,9.3338,0.1016,32.999
20160930_203718,43,UCI487_laboratory,983,2.22,2.22,9.1193,17.5,26.1,0.23194303153611392,228,755,0.0901,37.3412,0.11,57.2171
20160930_203718,44,UCI487_laboratory,975,13.33,13.33,13.33,31.81,26.1278,0.22974358974358974,224,751,0.09029999999999999,39.7569,0.1011,28.7735
20160930_203718,45,UCI487_laboratory,982,2.22,2.22,2.22,41.4,26.14,0.23319755600814665,229,753,0.0901,33.6595,0.1107,58.8889
20160930_203718,46,UCI487_laboratory,979,15.56,15.56,15.56,19.74,26.1012,0.23084780388151174,226,753,0.09015000000000001,30.523,0.1012,24.8162
