day,segment,co_reference_ppm,co_reference_min_ppm,co_reference_max_ppm,humidity_pct,temperature_c,log_r1_blind,log_r2_blind,log_r3_blind,log_r4_blind,log_r5_blind,log_r6_blind,log_r7_blind,log_r8_blind,log_r9_blind,log_r10_blind,log_r11_blind,log_r12_blind,log_r13_blind,log_r14_blind,log_r1_high,log_r1_low,log_r2_high,log_r2_low,log_r3_high,log_r3_low,log_r4_high,log_r4_low,log_r5_high,log_r5_low,log_r6_high,log_r6_low,log_r7_high,log_r7_low,log_r8_high,log_r8_low,log_r9_high,log_r9_low,log_r10_high,log_r10_low,log_r11_high,log_r11_low,log_r12_high,log_r12_low,log_r13_high,log_r13_low,log_r14_high,log_r14_low,co_level_offline_ppm,position_split,day_split,split
20160930_203718,0,20.0,15.56,20.0,42.49,26.54,-0.5094931785322121,-0.40391630811831397,0.013113639145383204,2.024523263919255,1.8361112267985555,1.544152445735471,1.865040909422135,2.5763381049347873,2.32799939632251,2.3867148220214656,2.768524223343804,2.481350333585223,2.243291460018851,2.5727648903096845,-2.4281483159693913,0.2488487448401782,-1.968974088653865,0.24954979083519047,-2.11279152136139,1.077598921760014,-2.272055887959223,2.808260526476726,-2.1210972169486686,2.980258882786088,-2.0947582457917293,2.6984220728635915,-2.0635681925235456,3.009814447792309,-2.333044300478754,2.698733602731519,-2.3475824589247813,2.4624731880451622,-2.1498640059763816,2.544817291290945,-2.2358614609511376,2.834136447277073,-2.2424311701742985,2.596828095397522,-2.31061726469131,2.396430564272734,-2.2499926428748753,2.6875141048834528,20.0,train,train,train
20160930_203718,1,15.56,15.56,20.0,40.91,26.54,-0.27522663118443513,-0.16017305714832086,0.4932756373630657,2.6407137765164204,2.6775730615284887,2.2975521587443533,2.652288027889265,2.8794400011576804,2.610716642313236,2.7724006062902022,3.04872481962615,2.831936058085451,2.6259286674998883,2.9133881696986217,-2.4270151713722226,0.6188496973483905,-1.9558095435070864,0.6070141588830169,-2.104965256618768,1.7410442292997348,-2.2585682075772713,3.1328156615275944,-2.112791863433409,3.4567686031788982,-2.0770444170801143,3.218924789798558,-2.0549440700794483,3.4602538203181066,-2.3217679124108197,2.9887882193195594,-2.3465369805232283,2.752302480410535,-2.1447270083784655,2.9063238653750334,-2.2330590303454354,3.107796767250265,-2.238202943962411,2.918156375027529,-2.303586094329382,2.757246631940511,-2.247150386105945,3.018241357689974,15.56,train,train,train
20160930_203718,2,20.0,4.44,20.0,59.83,26.62,-0.30945575827958716,-0.24360498243293005,0.305053300210242,2.2473032985619694,2.3213722247433495,1.9577327431428881,2.3071985107591297,2.6976355599044335,2.4364251879650953,2.5499138110966104,2.8660619886785828,2.6132885602586065,2.3870592887285618,2.6969537550339773,-2.4281483159693913,0.5576710409974954,-1.9618362996055725,0.5170064828410719,-2.1061962789886555,1.4713246103044662,-2.2672179491567546,2.742342121018739,-2.119430549896199,3.24751770200801,-2.0866675867715756,3.0028320106692137,-2.0572887370387027,3.2754980950087984,-2.3299562897901778,2.8041842838295317,-2.3496767005278962,2.5735125881220244,-2.14729220858801,2.692212104657869,-2.2377341206744292,2.9332130456042775,-2.24431618487007,2.7102278283499843,-2.308603165319609,2.5289155606913196,-2.2499926428748753,2.814701882846237,20.0,test,train,excluded_cross_cell
20160930_203718,3,4.44,4.44,15.56,34.0,26.54,0.06877951539482563,0.04945660871259249,1.1036661629707887,3.1471778693668946,3.5877046107394626,3.168053998269612,3.4890617281032235,3.5219212739426964,3.322608616501757,3.596808023893447,3.7121344484603673,3.563667643309003,3.4654827457581865,3.7456070807339485,-2.4315554742910055,1.0789186359536078,-1.9255194594075793,0.8759888712346994,-2.0882804903470404,2.309954202256569,-2.22747762050724,3.3621619846701067,-2.0939462278827174,3.7618347979610847,-2.0394518934636774,3.6356441756253464,-2.029509172931627,3.765794197882062,-2.265289308250349,3.626011536740486,-2.3258537199334,3.4424640772882147,-2.1252760780236355,3.6860078349594767,-2.218243944560295,3.7608279534265203,-2.1991263846258158,3.6386375272962783,-2.2614431496628704,3.5488067134459915,-2.22747762050724,3.828556610286151,4.44,train,train,train
20160930_203718,4,15.56,6.67,15.56,52.81,26.58,-0.07203320289983162,-0.026241311205227127,0.7264852401704557,2.668602262135099,2.9003440907075078,2.541499626020453,2.916894672780687,2.925556559927874,2.674258988166572,2.8438506840596536,3.094608813601561,2.9103377705370423,2.702896945861409,2.9796587843710216,-2.4275817436708067,1.001991250063684,-1.9491152800042617,0.8548407695579324,-2.100869572596461,2.022963778497605,-2.2557019623427657,3.0277395321889706,-2.1074303396726974,3.567172166141648,-2.070680036011263,3.3592080393898933,-2.0518263746468626,3.5778165998718343,-2.3176987308040937,3.0343758971461954,-2.3434070875143007,2.812332135300123,-2.1438734018392247,2.965561684208874,-2.2330590303454354,3.157570471406545,-2.234926444520231,2.994676716649767,-2.3005870903313728,2.8250329165878245,-2.245732392966357,3.079383846049602,15.56,test,train,excluded_cross_cell
20160930_203718,5,6.67,2.22,6.67,32.39,26.54,0.31739132453210034,0.31039968305584176,1.4622100611471653,3.289621292993393,3.7036695395865715,3.3901569189764604,3.663043032426806,3.4517257168763607,3.220510488077995,3.4698353710045735,3.6147146446610714,3.4731489828993287,3.359058527482298,3.601858077074306,-2.429283390236661,1.4225161852211445,-1.9268921432195514,1.3582805670714853,-2.079042341083372,2.7108744030579612,-2.2219271899765913,3.4687761513942093,-2.084655189571265,3.866592491308971,-2.0359990571795974,3.765120782706229,-2.0241960674538575,3.8690903954143314,-2.279845606024556,3.554820183912307,-2.3309845675157437,3.3505284537208113,-2.1286317858706076,3.5714547917341783,-2.2219271899765913,3.6614722854478026,-2.2081844175725616,3.543610878022689,-2.2710864259346746,3.4503906391817205,-2.231195096907373,3.6874409199195894,6.67,train,train,train
20160930_203718,6,2.22,2.22,11.11,50.7642,26.58,0.6109062251760344,0.4631678182364536,1.820946033913006,3.16683277580063,3.8129007689596826,3.6424768125428195,3.78611958853899,3.6844722566706976,3.5060047443590876,3.7578013230802685,3.8388822576697543,3.685980255496146,3.611933612862289,3.890186310818972,-2.4315554742910055,1.7388265935817806,-1.9091925661201505,1.5872324746307418,-2.071473372030659,2.964263983994599,-2.200028504668954,3.260363197975019,-2.0651442369790116,3.8837634388143534,-2.014403145500614,3.84783088852254,-2.0069348508930878,3.9118709938749756,-2.238671767250393,3.778781856393163,-2.3156703325427013,3.6231482219793034,-2.1185982568810298,3.830014366577641,-2.206366235253503,3.887861451800998,-2.1785991132130547,3.7430906123932046,-2.2405497020745933,3.6799295226943465,-2.219163484854973,3.9668406818785846,2.22,train,train,train
20160930_203718,7,11.11,2.22,11.11,61.32,26.62,0.0824542885072376,-0.011516272133292354,0.8067632573484569,2.624443322378935,3.123905413493936,2.719256565404436,3.102761006340803,3.217927375232008,2.95233404672852,3.1954311333003895,3.3801099293316708,3.2269630350508196,3.0407821181076997,3.3142550931949497,-2.4281483159693913,1.1368154030781201,-1.9442118365889107,0.8045619755767075,-2.098013259374561,2.039693847262842,-2.2504672513585415,2.860513744228679,-2.110313205346923,3.6090460829519184,-2.0651442369790116,3.4378094175932867,-2.049494465311884,3.629564599178256,-2.2995895840142473,3.3232502545029714,-2.3351082846996056,3.079701110041191,-2.137918471438812,3.3031838845192296,-2.228405694819794,3.433922686274859,-2.2219271899765913,3.3117685395022995,-2.284745174865715,3.1402654242862895,-2.238671767250393,3.404169626828648,11.11,train,train,train
20160930_203718,8,2.22,2.22,13.33,63.29,26.62,0.019508466388043013,-0.1183331869618647,0.6761536041833742,2.572085373885433,3.2723710931308503,2.805878420104423,3.1902088248528147,3.639888769841692,3.386489752789881,3.733616176079985,3.8281978198626585,3.6455021141443678,3.5120855914297984,3.8563940096671847,-2.436116485618568,0.9155881937454147,-1.9296431765914415,0.5216694367858944,-2.0923241675108497,1.7772004362380347,-2.2358614609511376,2.758356675409616,-2.1111386284230904,3.577390066984995,-2.0463936876336355,3.4203075138028627,-2.0440743978425444,3.5967334851286337,-2.2377341206744292,3.7253415581090557,-2.311625837646195,3.4759298267834193,-2.1185982568810298,3.811731061706886,-2.206366235253503,3.87666522154705,-2.1785991132130547,3.714147510860654,-2.238671767250393,3.571470444396401,-2.219163484854973,3.918672846146025,2.22,train,train,train
20160930_203718,9,13.33,4.44,13.33,52.81,26.58,-0.3394687884328125,-0.3396777226390918,0.17889844915623776,2.219901906360162,2.3448142654314474,1.872972878661471,2.3153134647901914,3.050845263606903,2.767670397083235,2.98104180043706,3.2102709085388774,3.0456235407316234,2.833507418459159,3.1089180915130834,-2.4326937783410663,0.5051897721473613,-1.9611253148617938,0.2292051426928051,-2.1169357461074165,1.1871114472505242,-2.2730262907525014,2.7859922423817944,-2.1269525243508878,3.2353041381136665,-2.0866675867715756,2.8684214927425247,-2.060423535844074,3.213899463294666,-2.311625837646195,3.146434155967484,-2.3361418765228885,2.897590087402584,-2.1413169453979233,3.0886714629625476,-2.231195096907373,3.267944045614415,-2.229334631254453,3.1261507009259972,-2.2926347621408776,2.947418745775385,-2.241489993634235,3.2010050902650473,13.33,validation,train,excluded_cross_cell
20160930_203718,10,4.44,4.44,6.67,27.49,26.46,0.044686517622406094,-0.04165567526883251,0.9346020516454079,3.090278525275911,3.5064338896313463,3.0315143891936307,3.400010010349091,3.626011536740486,3.3898195657701806,3.658446019492981,3.776347601767961,3.6406498827829723,3.5406172365465527,3.7966727581409514,-2.4326937783410663,0.9896898814439228,-1.9310215365615626,0.7481087386339197,-2.0898959995836948,2.1085754964049,-2.234926444520231,3.3585577640431885,-2.0955712541009386,3.7420836715245347,-2.04407469598965,3.5396512224685788,-2.0379157948513376,3.721898282971108,-2.2576117273513145,3.7253415581090557,-2.3217679124108197,3.4978521116990184,-2.121931593300788,3.753280465797516,-2.2136588837996443,3.822413346735334,-2.1937306880819634,3.7003953904501765,-2.2566561611056457,3.6206969684613806,-2.2237739125697558,3.8726395590345293,4.44,train,train,train
20160930_203718,11,6.67,0.0,6.67,53.3,26.5,0.22793206804600694,0.12892078006683932,1.2352098092477788,2.9517176881345715,3.5626612547836385,3.176878139494224,3.4968287220101235,3.4843582995840685,3.245868229931802,3.486870363400305,3.6258091878957135,3.4842263951133896,3.3435400198389496,3.610588128541695,-2.430418464503931,1.277773061108289,-1.9296431765914415,1.035117277326588,-2.0890879187316416,2.4616062025872383,-2.2330590303454354,3.131359593188158,-2.0939462278827174,3.774601428700831,-2.043302495063963,3.640337971129723,-2.033321606066283,3.7814654722113703,-2.2749699259610723,3.5771973645307513,-2.32687778556309,3.371960794170529,-2.1286317858706076,3.5859812862830296,-2.221005106001623,3.674745032146999,-2.2045513527226803,3.5554509133428374,-2.2681836662767134,3.4264819268947466,-2.231195096907373,3.6874409199195894,6.67,test,train,excluded_cross_cell
20160930_203718,12,0.0,0.0,15.56,52.29,26.5,0.25444417422968724,0.09394550925441164,1.179323823605113,2.9888122219103304,3.6356184355526833,3.29961969805458,3.544674154632543,3.846752483109736,3.6530906498108107,3.9373066628293114,4.001285845970496,3.819631362548625,3.7617395050806692,4.077910255758676,-2.4349742810397914,1.296014010489683,-1.9186841628017217,0.9026785044542931,-2.083449563077375,2.3680263315596077,-2.2164073967529934,3.1442298618695066,-2.0874737133771,3.7618347979610847,-2.0249533563957662,3.6711583589258803,-2.020418201230375,3.765794197882062,-2.1937306880819634,3.932111866265401,-2.2975975514830065,3.7289147392595057,-2.1037342342488805,3.998261250294809,-2.184802057337662,4.045595397212192,-2.149006005065745,3.862601642094428,-2.2081844175725616,3.81909159410934,-2.2036451451391423,4.1343037846615385,0.0,validation,train,excluded_cross_cell
