day,segment,co_level_offline_ppm,position_split,day_split,split
20160930_203718,0,20.0,train,train,train
20160930_203718,1,15.56,train,train,train
20160930_203718,2,20.0,test,train,excluded_cross_cell
20160930_203718,3,4.44,train,train,train
20160930_203718,4,15.56,test,train,excluded_cross_cell
20160930_203718,5,6.67,train,train,train
20160930_203718,6,2.22,train,train,train
20160930_203718,7,11.11,train,train,train
20160930_203718,8,2.22,train,train,train
20160930_203718,9,13.33,validation,train,excluded_cross_cell
20160930_203718,10,4.44,train,train,train
20160930_203718,11,6.67,test,train,excluded_cross_cell
20160930_203718,12,0.0,validation,train,excluded_cross_cell
20160930_203718,13,15.56,train,train,train
20160930_203718,14,8.89,train,train,train
20160930_203718,15,15.56,train,train,train
20160930_203718,16,13.33,train,train,train
20160930_203718,17,15.56,train,train,train
20160930_203718,18,8.89,validation,train,excluded_cross_cell
20160930_203718,19,11.11,train,train,train
20160930_203718,20,0.0,train,train,train
20160930_203718,21,15.56,validation,train,excluded_cross_cell
20160930_203718,22,17.78,train,train,train
20160930_203718,23,11.11,train,train,train
20160930_203718,24,0.0,train,train,train
20160930_203718,25,11.11,validation,train,excluded_cross_cell
20160930_203718,26,13.33,train,train,train
20160930_203718,27,15.56,train,train,train
20160930_203718,28,17.78,train,train,train
20160930_203718,29,2.22,validation,train,excluded_cross_cell
20160930_203718,30,2.22,train,train,train
20160930_203718,31,8.89,test,train,excluded_cross_cell
20160930_203718,32,8.89,test,train,excluded_cross_cell
20160930_203718,33,0.0,train,train,train
20160930_203718,34,17.78,train,train,train
20160930_203718,35,4.44,train,train,train
20160930_203718,36,11.11,train,train,train
20160930_203718,37,11.11,train,train,train
20160930_203718,38,17.78,test,train,excluded_cross_cell
20160930_203718,39,4.44,validation,train,excluded_cross_cell
20160930_203718,40,13.33,test,train,excluded_cross_cell
20160930_203718,41,17.78,train,train,train
20160930_203718,42,11.11,test,train,excluded_cross_cell
20160930_203718,43,2.22,validation,train,excluded_cross_cell
20160930_203718,44,13.33,validation,train,excluded_cross_cell
20160930_203718,45,2.22,train,train,train
20160930_203718,46,15.56,test,train,excluded_cross_cell
20160930_203718,47,11.11,test,train,excluded_cross_cell
20160930_203718,48,20.0,train,train,train
20160930_203718,49,20.0,train,train,train
20160930_203718,50,2.22,test,train,excluded_cross_cell
20160930_203718,51,20.0,validation,train,excluded_cross_cell
20160930_203718,52,6.67,train,train,train
20160930_203718,53,17.78,validation,train,excluded_cross_cell
20160930_203718,54,17.78,test,train,excluded_cross_cell
20160930_203718,55,0.0,train,train,train
20160930_203718,56,13.33,test,train,excluded_cross_cell
20160930_203718,57,6.67,test,train,excluded_cross_cell
20160930_203718,58,20.0,train,train,train
20160930_203718,59,0.0,train,train,train
20160930_203718,60,8.89,train,train,train
20160930_203718,61,4.44,train,train,train
20160930_203718,62,13.33,train,train,train
20160930_203718,63,2.22,train,train,train
20160930_203718,64,20.0,validation,train,excluded_cross_cell
20160930_203718,65,6.67,train,train,train
20160930_203718,66,15.56,validation,train,excluded_cross_cell
20160930_203718,67,4.44,validation,train,excluded_cross_cell
20160930_203718,68,0.0,train,train,train
20160930_203718,69,8.89,train,train,train
20160930_203718,70,6.67,train,train,train
20160930_203718,71,6.67,validation,train,excluded_cross_cell
20160930_203718,72,4.44,test,train,excluded_cross_cell
20160930_203718,73,8.89,train,train,train
20160930_203718,74,0.0,test,train,excluded_cross_cell
20160930_203718,75,4.44,train,train,train
20160930_203718,76,8.89,train,train,train
20160930_203718,77,11.11,validation,train,excluded_cross_cell
20160930_203718,78,6.67,train,train,train
20160930_203718,79,4.44,train,train,train
20160930_203718,80,11.11,train,train,train
20160930_203718,81,6.67,train,train,train
20160930_203718,82,8.89,train,train,train
20160930_203718,83,13.33,train,train,train
20160930_203718,84,13.33,train,train,train
20160930_203718,85,15.56,train,train,train
20160930_203718,86,8.89,validation,train,excluded_cross_cell
20160930_203718,87,6.67,validation,train,excluded_cross_cell
20160930_203718,88,2.22,test,train,excluded_cross_cell
20160930_203718,89,0.0,test,train,excluded_cross_cell
20160930_203718,90,4.44,test,train,excluded_cross_cell
20160930_203718,91,0.0,validation,train,excluded_cross_cell
20160930_203718,92,20.0,train,train,train
20160930_203718,93,20.0,train,train,train
20160930_203718,94,20.0,test,train,excluded_cross_cell
20160930_203718,95,17.78,train,train,train
20160930_203718,96,17.78,train,train,train
20160930_203718,97,13.33,train,train,train
20160930_203718,98,17.78,validation,train,excluded_cross_cell
20160930_203718,99,2.22,train,train,train
20161001_231809,0,20.0,train,train,train
