day,zero_co_segments,zero_co_r1_low_mohm,zero_co_r8_low_mohm,r1_phase_difference_abs_mohm,r8_phase_difference_abs_mohm,humidity_median_pct,humidity_min_pct,humidity_max_pct
20160930_203718,10,3.93285,52.1599,3.5338695701992435,32.564800000000005,47.165000000000006,17.5,71.48
20161001_231809,10,3.9566775012821616,56.602549999999994,3.6926742595468784,33.90685,47.155,17.51,72.45
20161003_085624,10,3.8951564413434543,57.6004,3.8878947272823536,33.254000000000005,46.925,16.43,72.51
20161004_104124,10,8.451450000000001,67.47205000000001,9.785098240006175,39.415099999999995,46.11,17.39,70.38
20161005_140846,10,5.2492364673958445,60.8881,5.6368598577524125,35.99765,47.364999999999995,16.38,71.9
20161006_182224,10,6.261167388176256,60.97255,6.150722124084266,35.3507,47.39,17.47,74.18
20161007_210049,10,4.402433107995635,59.52764999999999,4.041949926294929,34.05487500614251,46.875,16.94,72.39
20161008_234508,10,4.6297119353485074,58.24975000000001,4.385575007082153,34.04070000000001,46.115,16.39,71.96
20161010_095046,10,4.98465,59.7614,5.196961406110203,35.599084004344625,46.295,16.37,71.36
20161011_113032,10,5.508908574817032,64.91480863448288,5.446110978880853,36.4336,46.28,16.36,71.29
20161013_143355,10,2.738434989422853,53.3159864922242,2.3633500280898962,27.797199999999997,53.48935,21.89,74.47
20161014_184659,10,5.61705,62.76005000000001,5.5615000000000006,37.09897500612445,47.474999999999994,18.54,71.61
20161016_053656,10,4.7001,65.30224999999999,5.5203500000000005,37.014500000000005,48.495000000000005,17.47,71.66
